name,ra,dec
Revolving Male,"[207.29143499999998, 208.462605, 208.462605, 200.981205, 200.981205, 199.376325, 199.376325, 189.385455, 199.376325, 199.56051, 199.56051, 206.88531, 206.88531, 207.29143499999998, 189.385455, 193.50708, 193.50708, 211.097475, 193.50708, 183.85629, 183.85629, 165.93232500000002, 165.93232500000002, 142.881795, 142.881795, 137.729115, 137.729115, 130.0536, 165.93232500000002, 165.46015500000001, 165.46015500000001, 157.656915, 157.656915, 148.02649499999998, 148.02649499999998, 143.706075, 165.46015500000001, 178.45752000000002, 178.45752000000002, 186.00620999999998, 186.00620999999998, 189.385455, 186.00620999999998, 191.28261, 191.28261, 194.007105]","[51.483362, 53.728677, 53.728677, 54.925362, 54.925362, 52.207471, 52.207471, 53.753177, 52.207471, 49.682062, 49.682062, 49.313265, 49.313265, 51.483362, 53.753177, 55.959821, 55.959821, 64.37585, 55.959821, 57.032617, 57.032617, 61.751033, 61.751033, 63.061861, 63.061861, 63.513633, 63.513633, 64.327936, 61.751033, 56.382427, 56.382427, 55.980536, 55.980536, 54.064332, 54.064332, 52.051477, 56.382427, 53.69476, 53.69476, 51.562257, 51.562257, 53.753177, 51.562257, 45.440256, 45.440256, 38.31838]"
Revolving Female,"[42.674175, 32.19414, 32.19414, 28.598760000000002, 28.598760000000002, 25.634535, 25.634535, 30.489659999999997, 28.598760000000002, 33.449835, 25.634535, 14.177145, 14.177145, 2.293305, 2.293305, 337.292745, 2.293305, 9.24282, 9.24282, 354.39083999999997, 9.24282, 21.453239999999997, 21.453239999999997, 32.19414, 33.449835, 33.980805000000004, 33.980805000000004, 39.343995, 39.343995, 37.266555, 37.266555, 31.89111, 31.89111, 33.449835]","[55.895496, 60.95492, 60.95492, 63.670101, 63.670101, 66.107959, 66.107959, 70.90702, 63.670101, 64.855011, 66.107959, 60.71674, 60.71674, 59.14978, 59.14978, 58.415198, 59.14978, 53.896909, 53.896909, 46.458152, 53.896909, 60.235283, 60.235283, 60.95492, 64.855011, 63.236301, 63.236301, 63.881416, 63.881416, 67.402474, 67.402474, 66.989343, 66.989343, 64.855011]"
Man with Feet Apart,"[190.415175, 197.48746500000001, 197.48746500000001, 189.81153, 189.81153, 187.466085, 187.466085, 188.596815, 188.596815, 192.671535, 188.596815, 182.53119, 182.53119, 182.103375, 182.103375, 178.227195, 182.53119, 183.95155499999998, 183.95155499999998, 184.63383000000002, 184.63383000000002, 174.17047499999998, 184.63383000000002, 186.981225, 186.981225, 189.81153, 186.981225, 187.21522499999998, 187.21522499999998, 184.47246, 184.47246, 184.18371000000002, 184.18371000000002, 189.278445, 189.278445, 189.14172000000002, 189.14172000000002, 187.21522499999998]","[-1.449375, -5.53901, -5.53901, -7.995564, -7.995564, -16.515432, -16.515432, -23.396759, -23.396759, -33.999302, -23.396759, -22.619766, -22.619766, -24.728875, -24.728875, -33.908124, -22.619766, -17.541929, -17.541929, -8.904421, -8.904421, -9.802247, -8.904421, -8.677994, -8.677994, -7.995564, -8.677994, -6.530283, -6.530283, -6.43108, -6.43108, -2.739549, -2.739549, -2.322103, -2.322103, -6.065551, -6.065551, -6.530283]"
Lizard,"[41.04951, 31.547534999999996, 31.547534999999996, 24.498075, 41.04951, 34.676429999999996, 34.676429999999996, 30.97476, 24.498075, 25.915125, 25.915125, 30.575384999999997, 24.498075, 14.188274999999999, 14.188274999999999, 4.272945, 14.188274999999999, 9.2202, 9.2202, 0.371655, 0.371655, 345.943515, 345.943515, 2.096865, 2.096865, 9.83193, 9.83193, 17.43291, 17.43291, 17.91513, 17.43291, 30.97476, 30.97476, 32.38587, 32.38587, 34.328595]","[49.228448, 49.156332, 49.156332, 48.628213, 49.228448, 45.639706, 45.639706, 42.329725, 48.628213, 50.688732, 50.688732, 54.487541, 48.628213, 38.499345, 38.499345, 38.681636, 38.499345, 33.719344, 33.719344, 30.735785, 30.735785, 28.082789, 28.082789, 29.090432, 29.090432, 30.861024, 30.861024, 35.620558, 35.620558, 30.089638, 35.620558, 42.329725, 42.329725, 34.987297, 34.987297, 33.847194]"
Dilyehe,"[57.290595, 57.29673, 57.29673, 56.87115, 56.87115, 57.290595, 56.87115, 56.58156, 56.58156, 56.218905, 56.218905, 56.30205, 56.30205, 56.87115]","[24.053415, 24.136712, 24.136712, 24.105137, 24.105137, 24.053415, 24.105137, 23.948358, 23.948358, 24.113339, 24.113339, 24.467278, 24.467278, 24.105137]"
First Big One,"[245.74773000000002, 247.62506999999997, 247.62506999999997, 247.68390000000002, 247.68390000000002, 243.58641000000003, 243.58641000000003, 243.47469, 243.47469, 245.74773000000002, 245.74773000000002, 245.0016, 245.0016, 241.0922270833333, 241.0922270833333, 233.881575, 233.881575, 238.456395, 238.456395, 234.25605, 234.25605, 230.4516, 241.0922270833333, 240.08335499999998, 240.08335499999998, 239.712975, 239.712975, 239.22115499999998, 239.22115499999998, 237.73974, 237.73974, 240.03054, 239.22115499999998, 248.97064500000002, 248.97064500000002, 252.54119999999998, 252.54119999999998, 252.96763500000003, 248.97064500000002, 248.034165, 248.034165, 247.784865, 247.784865, 249.28974000000002, 249.28974000000002, 257.59452, 249.28974000000002, 245.0016]","[-7.208936, -7.514451, -7.514451, -4.082578, -4.082578, -3.694323, -3.694323, -6.908617, -6.908617, -7.208936, -7.208936, -9.850982, -9.850982, -159.40344166666668, -159.40344166666668, -14.789537, -14.789537, -16.729293, -16.729293, -28.135079, -28.135079, -36.261376, -159.40344166666668, -22.62171, -22.62171, -26.114105, -26.114105, -29.214073, -29.214073, -33.627165, -33.627165, -38.396706, -29.214073, -28.216016, -28.216016, -34.293232, -34.293232, -38.04738, -28.216016, -21.46639, -21.46639, -16.612733, -16.612733, -10.56709, -10.56709, -15.72491, -10.56709, -9.850982]"
Rabbit Tracks,"[263.402175, 265.62198, 265.62198, 266.89617000000004, 265.62198, 262.69097999999997]","[-37.103821, -39.029983, -39.029983, -40.126997, -39.029983, -37.295811]"
First Slim One,"[74.092815, 72.460035, 72.460035, 72.80151000000001, 72.80151000000001, 73.562895, 90.59583, 88.792935, 88.792935, 90.59583, 90.59583, 89.285775, 89.285775, 90.85319999999999, 90.85319999999999, 93.247485, 93.247485, 92.19596999999999, 92.19596999999999, 90.59583, 88.792935, 83.78449499999999, 88.792935, 81.282765, 88.792935, 83.001675, 83.001675, 81.119235, 81.119235, 78.63447, 83.001675, 84.05338499999999, 84.05338499999999, 85.189695, 85.189695, 88.792935, 85.189695, 83.76116999999999, 83.76116999999999, 86.939115]","[13.514466, 6.961276, 6.961276, 5.605104, 5.605104, 2.440672, 9.647276, 7.407063, 7.407063, 9.647276, 9.647276, 10.229365, 10.229365, 11.681065, 11.681065, 10.287415, 10.287415, 8.669432, 8.669432, 9.647276, 7.407063, 9.934158, 7.407063, 6.349702, 7.407063, -0.299092, -0.299092, -2.397146, -2.397146, -8.20164, -0.299092, -1.20192, -1.20192, -1.942572, -1.942572, 7.407063, -1.942572, -6.002027, -6.002027, -9.669605]"
