name,ra,dec
Camelopardalis,"[74.3217, 75.85454999999999, 75.85454999999999, 73.51254, 73.51254, 94.711575, 94.711575, 105.016215, 105.016215, 94.711575, 94.711575, 73.51254, 73.51254, 57.589529999999996, 57.589529999999996, 57.380355, 57.380355, 52.26723]","[53.752101, 60.442245, 60.442245, 66.342678, 66.342678, 69.319787, 69.319787, 76.977408, 76.977408, 69.319787, 69.319787, 66.342678, 66.342678, 71.332266, 71.332266, 65.525972, 65.525972, 59.94033]"
Capricornus,"[304.51356, 305.25280499999997, 305.25280499999997, 311.5239, 311.5239, 312.95538, 312.95538, 321.66677999999996, 321.66677999999996, 324.27012, 324.27012, 326.760165, 326.760165, 325.022715, 325.022715, 316.48677000000004, 316.48677000000004, 304.51356]","[-12.544852, -14.781367, -14.781367, -25.270898, -25.270898, -26.919133, -26.919133, -22.411332, -22.411332, -19.466011, -19.466011, -16.127286, -16.127286, -16.662308, -16.662308, -17.232861, -17.232861, -12.544852]"
Carina,"[95.98792499999999, 138.300615, 138.300615, 153.434415, 153.434415, 160.739235, 160.739235, 158.006145, 158.006145, 154.2708, 154.2708, 139.27257, 139.27257, 131.175885, 158.006145, 163.373385, 160.739235, 166.635225, 166.635225, 168.15007500000002, 168.15007500000002, 167.147475, 167.147475, 163.373385, 139.27257, 125.62853999999999, 125.62853999999999, 119.194695, 119.194695, 122.38314]","[-52.69566, -69.717208, -69.717208, -70.037903, -70.037903, -64.39445, -64.39445, -61.685332, -61.685332, -61.332304, -61.332304, -59.275229, -59.275229, -54.708821, -61.685332, -58.853171, -64.39445, -62.424113, -62.424113, -60.317625, -60.317625, -58.975037, -58.975037, -58.853171, -59.275229, -59.509483, -59.509483, -52.98236, -52.98236, -47.336588]"
Cassiopeia,"[2.293305, 10.126740000000002, 10.126740000000002, 14.177145, 14.177145, 21.453239999999997, 21.453239999999997, 28.598760000000002]","[59.14978, 56.537331, 56.537331, 60.71674, 60.71674, 60.235283, 60.235283, 63.670101]"
Centaurus,"[190.379565, 204.97194000000002, 204.97194000000002, 210.955935, 210.955935, 219.911475, 219.911475, 210.955935, 210.955935, 204.97194000000002, 204.97194000000002, 208.885005, 208.885005, 190.379565, 190.379565, 208.885005, 208.885005, 209.669805, 209.669805, 209.56779, 209.56779, 218.87679, 218.87679, 209.56779, 209.56779, 211.51155, 211.51155, 215.139345, 215.139345, 211.670925, 211.670925, 207.37617, 207.37617, 208.885005, 170.25175499999997, 182.08965, 182.08965, 187.009965, 187.009965, 190.379565, 190.379565, 187.009965, 187.009965, 182.91303000000002, 182.91303000000002, 172.94196000000002, 207.37617, 202.761075, 202.761075, 200.14944, 200.14944, 189.96891, 218.87679, 224.79037499999998]","[-48.959888, -53.466394, -53.466394, -60.373039, -60.373039, -60.833976, -60.833976, -60.373039, -60.373039, -53.466394, -53.466394, -47.288375, -47.288375, -48.959888, -48.959888, -47.288375, -47.288375, -44.803584, -44.803584, -42.100753, -42.100753, -42.157824, -42.157824, -42.100753, -42.100753, -41.179633, -41.179633, -37.885295, -37.885295, -36.369954, -36.369954, -41.687709, -41.687709, -47.288375, -54.491019, -50.722425, -50.722425, -50.230635, -50.230635, -48.959888, -48.959888, -50.230635, -50.230635, -52.36846, -52.36846, -59.442061, -41.687709, -39.407307, -39.407307, -36.712295, -36.712295, -39.987302, -42.157824, -42.104194]"
Cepheus,"[311.322165, 319.64445, 319.64445, 322.16492999999997, 322.16492999999997, 342.4203, 342.4203, 322.16492999999997, 322.16492999999997, 354.83729999999997, 354.83729999999997, 342.4203, 342.4203, 337.292745, 337.292745, 332.71362, 332.71362, 333.75816000000003, 333.75816000000003, 325.876905, 325.876905, 319.64445, 307.395225, 311.322165]","[61.838782, 62.585573, 62.585573, 70.560716, 70.560716, 66.200408, 66.200408, 70.560716, 70.560716, 77.632276, 77.632276, 66.200408, 66.200408, 58.415198, 58.415198, 58.201261, 58.201261, 57.043587, 57.043587, 58.780046, 58.780046, 62.585573, 62.994105, 61.838782]"
Cetus,"[40.82517, 45.56988, 45.56988, 44.92875, 44.92875, 41.235585, 41.235585, 37.039755, 37.039755, 40.82517, 40.82517, 39.87066, 39.87066, 34.83663, 34.83663, 27.86514, 27.86514, 26.017185, 26.017185, 10.89735, 10.89735, 4.856985, 4.856985, 17.147460000000002, 17.147460000000002, 21.00585, 21.00585, 27.86514]","[3.235818, 4.089734, 4.089734, 8.907365, 8.907365, 10.114146, 10.114146, 8.460054, 8.460054, 3.235818, 3.235818, 0.328511, 0.328511, -2.977643, -2.977643, -10.335038, -10.335038, -15.93748, -15.93748, -17.986605, -17.986605, -8.823921, -8.823921, -10.182264, -10.182264, -8.183257, -8.183257, -10.335038]"
Chamaeleon,"[124.630545, 158.86749, 158.86749, 161.446305, 161.446305, 184.58718, 184.58718, 179.90694, 179.90694, 158.86749]","[-76.919722, -78.607786, -78.607786, -80.540188, -80.540188, -79.31224, -79.31224, -78.221839, -78.221839, -78.607786]"
Circinus,"[229.37875499999998, 220.62738, 220.62738, 230.844375]","[-58.801208, -64.975138, -64.975138, -59.320787]"
Cancer,"[134.62176, 131.17125, 131.17125, 124.12884000000001, 124.12884000000001, 131.17125, 131.17125, 130.82146500000002, 130.82146500000002, 131.67426]","[11.857701, 18.154309, 18.154309, 9.185545, 9.185545, 18.154309, 18.154309, 21.468501, 21.468501, 28.759898]"
Columba,"[84.912255, 87.739935, 82.80313500000001, 84.912255, 89.78667, 87.739935, 87.739935, 89.38420500000001, 89.38420500000001, 95.52846]","[-34.074108, -35.768309, -35.470519, -34.074108, -42.815135, -35.768309, -35.768309, -35.28328, -35.28328, -33.4364]"
Coma Berenices,"[197.49703499999998, 197.49703499999998, 197.49703499999998, 197.96856, 197.96856, 186.73449]","[17.529431, 17.529431, 17.529431, 27.878183, 27.878183, 28.268423]"
Corona Australis,"[286.60456500000004, 287.368035, 287.368035, 287.50731, 287.50731, 287.08734, 287.08734, 278.375745]","[-37.063437, -37.904474, -37.904474, -39.340796, -39.340796, -40.496703, -40.496703, -42.31251]"
Corona Borealis,"[233.23243499999998, 231.95727, 231.95727, 233.67192, 233.67192, 235.68571500000002, 235.68571500000002, 237.39855, 237.39855, 239.39691000000002, 239.39691000000002, 240.360705]","[31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788, 26.87788, 29.851061]"
