name,ra,dec
The Jaguar,"[101.9652, 99.26454, 99.26454, 99.350175, 99.350175, 101.83263, 101.83263, 98.22594000000001, 98.22594000000001, 95.942025, 95.942025, 94.31724, 94.31724, 95.262045, 95.262045, 96.318945, 96.318945, 96.14139, 96.14139, 96.664935, 96.664935, 94.99833, 94.99833, 93.71388, 93.71388, 96.98988, 96.98988, 98.40800999999999, 98.40800999999999, 97.83954, 97.83954, 101.9652]","[2.412159, 5.51939, 5.51939, 6.135382, 6.135382, 8.037254, 8.037254, 7.332965, 7.332965, 4.592865, 4.592865, 5.100112, 5.100112, 2.568784, 2.568784, -0.945883, -0.945883, -1.41822, -1.41822, -1.507336, -1.507336, -2.944493, -2.944493, -6.274776, -6.274776, -4.762154, -4.762154, -1.220154, -1.220154, 2.911297, 2.911297, 2.412159]"
The Monkey,"[281.79363, 281.87062499999996, 281.87062499999996, 284.265285, 284.265285, 285.42012, 285.42012, 286.56225, 286.56225, 286.240305, 286.240305, 285.72708, 285.72708, 279.373935, 279.373935, 276.802125, 276.802125, 277.42075500000004, 277.42075500000004, 270.77050499999996, 270.77050499999996, 265.94592, 265.94592, 269.75662500000004, 269.75662500000004, 270.592665, 270.592665, 269.27931, 269.27931, 268.27101000000005, 268.27101000000005, 266.90325, 266.90325, 267.106485, 267.106485, 270.34633499999995, 270.34633499999995, 272.1198, 272.1198, 272.43075, 272.43075, 278.75997, 278.75997, 281.79363]","[-4.747867, -5.705147, -5.705147, -5.846314, -5.846314, -5.739115, -5.739115, -4.882554, -4.882554, -4.03142, -4.03142, -3.698987, -3.698987, -2.920029, -2.920029, 0.196108, 0.196108, -1.985308, -1.985308, -8.180349, -8.180349, -7.079608, -7.079608, -9.773632, -9.773632, -12.318373, -12.318373, -13.653238, -13.653238, -13.65023, -13.65023, -14.725824, -14.725824, -16.827184, -16.827184, -17.156868, -17.156868, -16.416665, -16.416665, -13.934435, -13.934435, -10.977206, -10.977206, -4.747867]"
The Warrior,"[8.249955, 352.50804, 352.50804, 342.442815, 342.442815, 21.453239999999997, 21.453239999999997, 8.249955, 21.453239999999997, 25.743, 25.743, 39.74298, 39.74298, 35.05359, 35.05359, 28.598760000000002, 28.598760000000002, 37.266555, 37.266555, 17.663684999999997, 17.663684999999997, 342.4203, 342.4203, 21.453239999999997]","[62.931783, 58.54892, 58.54892, 55.902777, 55.902777, 60.235283, 60.235283, 62.931783, 60.235283, 61.421073, 61.421073, 62.591508, 62.591508, 64.336949, 64.336949, 63.670101, 63.670101, 67.402474, 67.402474, 68.778621, 68.778621, 66.200408, 66.200408, 60.235283]"
The Frog,"[184.57039500000002, 181.720305, 181.720305, 182.93452499999998, 182.93452499999998, 186.853485, 186.853485, 187.379625, 187.379625, 190.779615, 190.779615, 187.9839, 187.9839, 191.30872499999998, 191.30872499999998, 196.153575, 196.153575, 194.50407, 194.50407, 191.40825, 191.40825, 192.82491, 192.82491, 196.759965, 196.759965, 193.98807, 193.98807, 188.03671500000002, 188.03671500000002, 185.706045, 185.706045, 187.91806499999998, 187.91806499999998, 183.48875999999998, 183.48875999999998, 182.411685, 182.411685, 181.18863000000002, 181.18863000000002, 185.340465, 185.340465, 182.77158, 182.77158, 184.57039500000002]","[-63.280142, -64.61373, -64.61373, -64.948789, -64.948789, -63.788986, -63.788986, -66.860487, -66.860487, -65.673111, -65.673111, -63.505838, -63.505838, -62.217658, -62.217658, -61.710283, -61.710283, -61.05532, -61.05532, -60.981318, -60.981318, -60.329789, -60.329789, -58.805461, -58.805461, -56.835806, -56.835806, -56.129539, -56.129539, -57.676132, -57.676132, -59.423922, -59.423922, -57.944283, -57.944283, -58.349655, -58.349655, -59.253287, -59.253287, -60.401147, -60.401147, -61.277425, -61.277425, -63.280142]"
The Arrow,"[21.453239999999997, 14.177145, 14.177145, 8.249955, 8.249955, 2.293305, 2.293305, 10.126740000000002, 10.126740000000002, 12.2739, 12.2739, 14.16648, 14.16648, 21.453239999999997]","[60.235283, 60.71674, 60.71674, 62.931783, 62.931783, 59.14978, 59.14978, 56.537331, 56.537331, 57.815187, 57.815187, 59.181056, 59.181056, 60.235283]"
