name,ra,dec
Prow,"[241.35930000000002, 240.08335499999998, 240.08335499999998, 239.712975, 240.08335499999998, 245.297145, 245.297145, 247.35191999999998, 247.35191999999998, 252.54119999999998, 252.54119999999998, 253.64596500000002, 253.64596500000002, 258.03828, 258.03828, 264.3297, 264.3297, 263.402175, 263.402175, 265.62198]","[-19.805453, -22.62171, -22.62171, -26.114105, -22.62171, -25.592796, -25.592796, -26.432002, -26.432002, -34.293232, -34.293232, -42.361313, -42.361313, -43.239189, -43.239189, -42.997824, -42.997824, -37.103821, -37.103821, -39.029983]"
Horus,"[197.96856, 186.73449, 186.73449, 169.619745, 169.619745, 163.32789, 163.32789, 156.970905, 156.970905, 155.582325, 155.582325, 154.27428, 154.27428, 167.41593, 167.41593, 176.512725, 176.512725, 188.43616500000002, 188.43616500000002, 194.007105, 167.41593, 169.619745, 156.970905, 151.857315, 151.857315, 140.263875, 140.263875, 141.16359, 141.16359, 131.67426, 140.263875, 136.632375, 136.632375, 135.160275, 135.160275, 132.98680499999998, 132.98680499999998, 134.80241999999998, 134.80241999999998, 143.215725, 135.160275, 154.27428]","[27.878183, 28.268423, 28.268423, 33.094306, 33.094306, 34.214871, 34.214871, 36.707212, 36.707212, 41.499516, 41.499516, 42.914365, 42.914365, 44.498487, 44.498487, 47.779406, 47.779406, 41.35748, 41.35748, 38.31838, 44.498487, 33.094306, 36.707212, 35.244693, 35.244693, 34.392562, 34.392562, 26.182324, 26.182324, 28.759898, 34.392562, 38.452215, 38.452215, 41.782911, 41.782911, 43.726603, 43.726603, 48.041826, 48.041826, 51.6773, 41.782911, 42.914365]"
Sheepfold,"[41.235585, 37.039755, 37.039755, 40.82517, 40.82517, 45.56988, 45.56988, 41.235585]","[10.114146, 8.460054, 8.460054, 3.235818, 3.235818, 4.089734, 4.089734, 10.114146]"
Giant,"[340.128495, 337.62192, 337.62192, 332.49685500000004, 332.49685500000004, 326.16137999999995, 326.16137999999995, 331.752705, 331.752705, 345.943515, 345.943515, 351.344895, 351.344895, 2.096865, 2.096865, 3.30897, 3.30897, 354.98766, 354.98766, 346.19022, 346.19022, 345.943515, 326.16137999999995, 326.1279, 326.1279, 320.52165, 320.52165, 314.608065, 314.608065, 309.38724, 309.38724, 309.909525, 309.909525, 311.6646, 311.6646, 310.864725, 310.864725, 309.38724, 314.608065, 314.771295, 314.771295, 318.955965, 318.955965, 326.04649500000005, 326.04649500000005, 332.54994, 332.54994, 338.83908, 338.83908, 335.41407000000004, 335.41407000000004, 322.88973, 332.54994, 340.365495, 340.365495, 341.67324, 341.67324, 346.19022, 314.57257500000003, 297.69582, 297.69582, 296.56491000000005]","[44.276305, 43.123376, 43.123376, 33.178224, 33.178224, 25.645036, 25.645036, 25.345112, 25.345112, 28.082789, 28.082789, 23.404101, 23.404101, 29.090432, 29.090432, 15.183596, 15.183596, 5.626292, 5.626292, 15.205264, 15.205264, 28.082789, 25.645036, 17.350017, 17.350017, 19.804508, 19.804508, 10.839286, 10.839286, 14.595087, 14.595087, 15.912072, 15.912072, 16.124296, 16.124296, 15.074581, 15.074581, 14.595087, 10.839286, 4.29461, 4.29461, 5.247845, 5.247845, 9.875011, 9.875011, 6.197865, 6.197865, -0.117498, -0.117498, -1.387331, -1.387331, -5.571172, 6.197865, 10.831364, 10.831364, 12.172888, 12.172888, 15.205264, 8.51535, 8.868322, 8.868322, 10.613261]"
Hippopotamus,"[282.51997500000004, 279.2346, 282.51997500000004, 283.62618, 283.62618, 281.193135, 281.193135, 279.2346, 279.2346, 268.325115, 268.325115, 269.06325000000004, 269.06325000000004, 255.07240499999997, 255.07240499999997, 250.32169500000003, 250.32169500000003, 239.39691000000002, 239.39691000000002, 235.68571500000002, 235.68571500000002, 233.67192, 233.67192, 222.847395, 222.847395, 221.24676, 221.24676, 218.01954, 218.01954, 225.48654000000002, 225.48654000000002, 232.94577, 232.94577, 252.309225, 252.309225, 262.608195, 262.608195, 269.151555, 269.151555, 268.325115]","[33.362667, 38.783692, 33.362667, 36.898613, 36.898613, 37.605115, 37.605115, 38.783692, 38.783692, 40.007959, 40.007959, 37.250539, 37.250539, 30.926405, 30.926405, 31.602726, 31.602726, 26.87788, 26.87788, 26.295637, 26.295637, 26.714693, 26.714693, 19.10046, 19.10046, 27.074222, 27.074222, 38.308253, 38.308253, 40.390566, 40.390566, 40.899332, 40.899332, 45.983323, 45.983323, 52.301387, 52.301387, 51.488895, 51.488895, 40.007959]"
Flock,"[57.29673, 57.290595, 57.290595, 56.87115, 56.87115, 57.29673, 56.87115, 56.30205, 56.30205, 56.218905, 56.218905, 56.58156, 56.58156, 56.87115]","[24.136712, 24.053415, 24.053415, 24.105137, 24.105137, 24.136712, 24.105137, 24.467278, 24.467278, 24.113339, 24.113339, 23.948358, 23.948358, 24.105137]"
Pair of Stars,"[116.329155, 113.64951]","[28.026199, 31.888276]"
Khanuwy Fish,"[290.65954500000004, 298.81539000000004, 290.971545, 297.96084]","[-44.458965, -41.868288, -40.61594, -39.874367]"
Net,"[284.680815, 286.60456500000004, 286.60456500000004, 287.368035, 287.368035, 287.50731, 287.50731, 285.77860499999997]","[-37.107357, -37.063437, -37.063437, -37.904474, -37.904474, -39.340796, -39.340796, -42.095105]"
Jaw,"[67.154145, 65.73370499999999, 65.73370499999999, 64.948335, 64.948335, 67.165575, 67.165575, 68.98015500000001]","[19.180431, 17.542514, 17.542514, 15.627642, 15.627642, 15.870883, 15.870883, 16.509301]"
Mooring Post,"[213.91545, 208.671165, 208.671165, 206.88531, 206.88531, 213.91545]","[19.18241, 18.397717, 18.397717, 49.313265, 49.313265, 19.18241]"
Kenemet,"[107.097855, 101.287215, 101.287215, 95.674935, 95.674935, 104.656455, 104.656455, 107.097855]","[-26.3932, -16.716116, -16.716116, -17.955918, -17.955918, -28.972084, -28.972084, -26.3932]"
Chematy,"[140.52843000000001, 131.175885, 131.175885, 125.62853999999999, 125.62853999999999, 139.27257, 139.27257, 140.52843000000001]","[-55.010668, -54.708821, -54.708821, -59.509483, -59.509483, -59.275229, -59.275229, -55.010668]"
Waty Bekety,"[187.791435, 183.786405, 183.786405, 186.649665, 186.649665, 191.930385, 191.930385, 187.791435]","[-57.113212, -58.748928, -58.748928, -63.099092, -63.099092, -59.688764, -59.688764, -57.113212]"
Sheep,"[328.48212, 332.058135, 332.058135, 342.13858500000003, 342.13858500000003, 337.317375, 337.317375, 328.48212]","[-37.364852, -46.960975, -46.960975, -51.316864, -51.316864, -43.495565, -43.495565, -37.364852]"
Stars of Water,"[130.31378999999998, 129.07267499999998, 129.07267499999998, 128.831025, 128.831025, 130.458675, 130.458675, 130.31378999999998]","[20.476905, 20.341506, 20.341506, 19.590063, 19.590063, 19.87417, 19.87417, 20.476905]"
