name,ra,dec
The Dragon,"[268.38201, 269.151555, 269.151555, 262.608195, 262.608195, 263.066505, 263.066505, 268.38201, 268.38201, 288.138375, 288.138375, 297.04275, 297.04275, 288.888435, 288.888435, 275.26104000000004, 275.26104000000004, 257.19671999999997, 257.19671999999997, 245.99790000000002, 245.99790000000002, 240.47297999999998, 240.47297999999998, 231.23241000000002, 231.23241000000002, 211.097475, 211.097475, 188.37087000000002, 188.37087000000002, 172.85110500000002]","[56.872643, 51.488895, 51.488895, 52.301387, 52.301387, 55.172958, 55.172958, 56.872643, 56.872643, 67.661541, 67.661541, 70.26793, 70.26793, 73.355468, 73.355468, 72.732843, 72.732843, 65.714683, 65.714683, 61.514213, 61.514213, 58.565251, 58.565251, 58.966065, 58.966065, 64.37585, 64.37585, 69.788238, 69.788238, 69.331076]"
The Raven,"[187.466085, 183.95155499999998, 183.95155499999998, 182.53119, 182.53119, 182.103375, 182.103375, 188.596815, 188.596815, 187.466085]","[-16.515432, -17.541929, -17.541929, -22.619766, -22.619766, -24.728875, -24.728875, -23.396759, -23.396759, -16.515432]"
The Scales,"[226.017585, 233.881575, 233.881575, 229.251735, 229.251735, 222.719655, 222.719655, 226.017585]","[-25.281965, -14.789537, -14.789537, -9.382917, -9.382917, -16.041778, -16.041778, -25.281965]"
The Virgin,"[201.298245, 190.415175, 190.415175, 184.97649, 184.97649, 177.67383, 177.67383, 176.46483, 176.46483, 180.21829499999998, 180.21829499999998, 181.302255, 190.415175, 193.90087499999998, 193.90087499999998, 203.6733, 203.6733, 201.298245, 225.33261, 222.75447, 222.75447, 221.56217999999998, 221.56217999999998, 224.84631, 224.84631, 220.411455, 220.411455, 210.411645, 210.411645, 203.6733, 193.90087499999998, 195.54416999999998]","[-11.161322, -1.449375, -1.449375, -0.666803, -0.666803, 1.764718, 1.764718, 6.529376, 6.529376, 6.614322, 6.614322, 8.732985, -1.449375, 3.39747, 3.39747, -0.59582, -0.59582, -11.161322, -2.754927, -2.29915, -2.29915, 1.892885, 1.892885, 4.567761, 4.567761, 8.161764, 8.161764, 1.544532, 1.544532, -0.59582, 3.39747, 10.95915]"
The Carp,"[345.969225, 349.29141, 349.29141, 351.73314, 351.73314, 355.511685, 355.511685, 359.827875, 359.827875, 15.73587, 15.73587, 18.432855, 18.432855, 22.546305, 22.546305, 25.35789, 25.35789, 27.108404999999998, 27.108404999999998, 28.388955000000003, 28.388955000000003, 30.511755, 30.511755, 26.34846, 26.34846, 22.870875, 22.870875, 18.43728, 345.969225, 351.99207, 351.99207, 354.98766, 354.98766, 359.827875, 18.43728, 19.020960000000002, 19.020960000000002, 20.280705, 20.280705, 17.91513, 17.91513, 15.709575, 15.709575, 18.43728]","[3.820045, 3.282289, 3.282289, 1.255608, 1.255608, 1.780041, 1.780041, 6.863321, 6.863321, 7.890135, 7.890135, 7.575354, 7.575354, 6.14382, 6.14382, 5.487613, 5.487613, 3.685447, 3.685447, 3.187536, 3.187536, 2.763759, 2.763759, 9.157736, 9.157736, 15.345823, 15.345823, 24.583713, 3.820045, 6.378992, 6.378992, 5.626292, 5.626292, 6.863321, 24.583713, 25.769358, 25.769358, 28.738207, 28.738207, 30.089638, 30.089638, 26.299391, 26.299391, 24.583713]"
The Ram,"[28.38255, 28.66002, 28.66002, 31.793325000000003, 31.793325000000003, 42.495945, 42.495945, 44.80302, 44.80302, 47.90733, 44.80302, 48.7254]","[19.293852, 20.808035, 20.808035, 23.462423, 23.462423, 27.260507, 27.260507, 21.340429, 21.340429, 19.726677, 21.340429, 21.044441]"
The Mastiff,"[101.287215, 95.674935, 95.674935, 95.078295, 95.078295, 104.656455, 104.656455, 105.42978000000001, 105.42978000000001, 111.02376, 104.656455, 101.287215]","[-16.716116, -17.955918, -17.955918, -30.063367, -30.063367, -28.972084, -28.972084, -27.93483, -27.93483, -29.303104, -28.972084, -16.716116]"
The Little Dog,"[114.825495, 111.78768]","[5.224993, 8.289315]"
The Herdsman,"[207.369345, 208.671165, 208.671165, 220.2873, 220.2873, 221.31025499999998, 221.31025499999998, 221.24676, 221.24676, 228.87564, 228.87564, 225.48654000000002, 225.48654000000002, 218.01954, 218.01954, 217.9575, 217.9575, 221.24676, 221.24676, 208.671165, 208.671165, 206.81565, 228.87564, 231.122715, 231.122715, 232.94577, 218.01954, 214.09610999999998, 214.09610999999998, 213.37077, 216.299505, 214.09610999999998]","[15.797905, 18.397717, 18.397717, 13.7283, 13.7283, 16.96428, 16.96428, 27.074222, 27.074222, 33.314833, 33.314833, 40.390566, 40.390566, 38.308253, 38.308253, 30.371437, 30.371437, 27.074222, 27.074222, 18.397717, 18.397717, 17.456906, 33.314833, 37.377167, 37.377167, 40.899332, 38.308253, 46.088305, 46.088305, 51.789965, 51.850744, 46.088305]"
The Turtle Dove,"[82.80313500000001, 88.138245, 88.138245, 89.38420500000001, 89.38420500000001, 94.13806500000001, 84.912255, 89.38420500000001]","[-35.470519, -37.631063, -37.631063, -35.28328, -35.28328, -35.140519, -34.074108, -35.28328]"
