name,ra,dec
Gemini,"[99.42792, 106.027215, 106.027215, 110.030745, 110.030745, 109.52324999999999, 109.52324999999999, 101.32236, 110.030745, 113.98062, 113.98062, 116.111895, 113.98062, 116.329155, 113.98062, 111.43168499999999, 111.43168499999999, 107.784885, 107.784885, 113.64951, 107.784885, 103.19724, 107.784885, 100.98303, 100.98303, 97.240785, 100.98303, 95.740095, 95.740095, 93.719415, 93.719415, 91.03006500000001]","[16.399252, 20.570297, 20.570297, 21.98232, 21.98232, 16.540383, 16.540383, 12.895591, 21.98232, 26.895741, 26.895741, 24.397993, 26.895741, 28.026199, 26.895741, 27.79808, 27.79808, 30.245163, 30.245163, 31.888276, 30.245163, 33.961254, 30.245163, 25.131124, 25.131124, 20.212133, 25.131124, 22.513586, 22.513586, 22.506799, 22.506799, 23.263341]"
Cancer,"[131.67426, 130.82146500000002, 130.82146500000002, 125.01608999999999, 130.82146500000002, 131.17125, 131.17125, 134.62176, 124.12884000000001, 131.17125]","[28.759898, 21.468501, 21.468501, 27.217707, 21.468501, 18.154309, 18.154309, 11.857701, 9.185545, 18.154309]"
Leo,"[170.28414, 170.98104, 170.98104, 168.560025, 168.560025, 152.09298, 152.09298, 151.833135, 151.833135, 154.99309499999998, 154.99309499999998, 168.52706999999998, 168.52706999999998, 177.26494499999998, 154.99309499999998, 154.17256500000002, 154.17256500000002, 148.19097, 148.19097, 146.46282000000002, 168.52706999999998, 168.560025, 152.09298, 145.287645]","[6.029322, 10.529509, 10.529509, 15.42957, 15.42957, 11.967207, 11.967207, 16.762664, 16.762664, 19.841489, 19.841489, 20.523717, 20.523717, 14.57206, 19.841489, 23.417311, 23.417311, 26.006951, 26.006951, 23.774255, 20.523717, 15.42957, 11.967207, 9.892308]"
Virgo,"[176.46483, 184.66798500000002, 184.66798500000002, 190.415175, 190.415175, 201.298245, 201.298245, 213.22393499999998, 213.22393499999998, 214.00362, 214.00362, 220.765095, 201.298245, 203.6733, 203.6733, 210.411645, 210.411645, 221.56217999999998, 203.6733, 193.90087499999998, 193.90087499999998, 195.54416999999998, 193.90087499999998, 190.415175]","[6.529376, -0.787184, -0.787184, -1.449375, -1.449375, -11.161322, -11.161322, -10.273702, -10.273702, -6.000547, -6.000547, -5.658207, -11.161322, -0.59582, -0.59582, 1.544532, 1.544532, 1.892885, -0.59582, 3.39747, 3.39747, 10.95915, 3.39747, -1.449375]"
Libra,"[229.251735, 233.881575, 233.881575, 238.456395, 238.456395, 239.547375, 239.547375, 229.251735, 229.251735, 222.719655, 222.719655, 226.017585, 226.017585, 234.66405, 234.66405, 234.25605, 234.25605, 226.017585, 226.017585, 228.05538, 228.05538, 229.251735]","[-9.382917, -14.789537, -14.789537, -16.729293, -16.729293, -14.279358, -14.279358, -9.382917, -9.382917, -16.041778, -16.041778, -25.281965, -25.281965, -29.777754, -29.777754, -28.135079, -28.135079, -25.281965, -25.281965, -19.79171, -19.79171, -9.382917]"
Scorpius,"[245.297145, 247.35191999999998, 247.35191999999998, 248.97064500000002, 240.08335499999998, 245.297145, 245.297145, 247.35191999999998, 247.35191999999998, 248.97064500000002, 248.97064500000002, 252.54119999999998, 252.54119999999998, 253.083945, 253.083945, 253.64596500000002, 253.64596500000002, 258.03828, 258.03828, 264.3297, 264.3297, 266.89617000000004, 266.89617000000004, 265.62198, 265.62198, 263.402175, 263.402175, 262.69097999999997, 247.35191999999998, 239.712975, 247.35191999999998, 241.35930000000002]","[-25.592796, -26.432002, -26.432002, -28.216016, -22.62171, -25.592796, -25.592796, -26.432002, -26.432002, -28.216016, -28.216016, -34.293232, -34.293232, -38.017536, -38.017536, -42.361313, -42.361313, -43.239189, -43.239189, -42.997824, -42.997824, -40.126997, -40.126997, -39.029983, -39.029983, -37.103821, -37.103821, -37.295811, -26.432002, -26.114105, -26.432002, -19.805453]"
Bow,"[287.440965, 286.17075, 286.17075, 284.432505, 286.17075, 286.73505, 286.73505, 283.81635, 286.73505, 285.65297999999996, 275.24850000000004, 285.65297999999996, 283.81635, 281.4141, 281.4141, 275.24850000000004, 275.24850000000004, 271.452045, 274.406895, 276.04302, 276.04302, 275.24850000000004, 275.24850000000004, 276.992685, 276.992685, 273.44088, 286.73505, 290.418165, 290.418165, 299.2368, 299.2368, 286.73505, 299.2368, 300.66448499999996]","[-21.023615, -21.741496, -21.741496, -21.106654, -21.741496, -27.670423, -27.670423, -26.296722, -27.670423, -29.880105, -29.828103, -29.880105, -26.296722, -26.990778, -26.990778, -29.828103, -29.828103, -30.424091, -36.761686, -34.384616, -34.384616, -29.828103, -29.828103, -25.4217, -25.4217, -21.058834, -27.670423, -17.847197, -17.847197, -27.169899, -27.169899, -27.670423, -27.169899, -27.709845]"
Crocodile,"[304.51356, 305.25280499999997, 305.25280499999997, 316.48677000000004, 316.48677000000004, 320.56164, 320.56164, 325.022715, 325.022715, 326.760165, 320.56164, 321.66677999999996, 321.66677999999996, 316.48677000000004, 305.25280499999997, 311.5239, 316.48677000000004, 312.95538]","[-12.544852, -14.781367, -14.781367, -17.232861, -17.232861, -16.834542, -16.834542, -16.662308, -16.662308, -16.127286, -16.834542, -22.411332, -22.411332, -17.232861, -14.781367, -25.270898, -17.232861, -26.919133]"
Aquarius,"[343.662555, 342.39792, 342.39792, 343.15364999999997, 343.15364999999997, 338.83908, 338.83908, 337.207965, 337.207965, 335.41407000000004, 335.41407000000004, 331.445985, 331.445985, 322.88973, 322.88973, 311.91897, 322.88973, 317.39853, 322.88973, 331.60929, 334.20847499999996, 331.445985, 334.20847499999996, 335.41407000000004]","[-15.82082, -13.592632, -13.592632, -7.579599, -7.579599, -0.117498, -0.117498, -0.019972, -0.019972, -1.387331, -1.387331, -0.319851, -0.319851, -5.571172, -5.571172, -9.495776, -5.571172, -11.371693, -5.571172, -13.869679, -7.78329, -0.319851, -7.78329, -1.387331]"
Pisces,"[15.704565000000002, 18.43728, 15.704565000000002, 19.866645000000002, 19.866645000000002, 18.43728, 18.43728, 22.870875, 22.870875, 26.34846, 26.34846, 30.511755, 30.511755, 28.388955000000003, 28.388955000000003, 25.35789, 25.35789, 22.546305, 22.546305, 15.73587, 15.73587, 12.07254, 12.07254, 5.149425, 5.149425, 359.827875, 359.827875, 354.98766, 354.98766, 355.511685, 355.511685, 351.73314, 351.73314, 349.29141, 349.29141, 351.99207, 351.99207, 354.98766]","[31.804263, 24.583713, 31.804263, 27.264059, 27.264059, 24.583713, 24.583713, 15.345823, 15.345823, 9.157736, 9.157736, 2.763759, 2.763759, 3.187536, 3.187536, 5.487613, 5.487613, 6.14382, 6.14382, 7.890135, 7.890135, 7.299928, 7.299928, 8.190271, 8.190271, 6.863321, 6.863321, 5.626292, 5.626292, 1.780041, 1.780041, 1.255608, 1.255608, 3.282289, 3.282289, 6.378992, 6.378992, 5.626292]"
,"[85.189695, 84.05338499999999, 84.05338499999999, 83.001675, 91.893015, 88.59579000000001, 90.59583, 88.792935, 88.792935, 85.189695, 85.189695, 86.939115, 78.63447, 79.40163, 79.40163, 81.119235, 81.119235, 83.001675, 83.001675, 81.282765, 81.282765, 83.78449499999999, 83.78449499999999, 88.792935, 81.282765, 72.460035, 72.460035, 72.80151000000001, 72.80151000000001, 73.344885, 73.344885, 74.63709, 72.460035, 72.65301, 72.65301, 73.72386, 91.893015, 90.59583, 95.942025, 91.893015, 85.189695, 84.68653499999999, 84.68653499999999, 83.84652, 83.84652, 83.85826499999999]","[-1.942572, -1.20192, -1.20192, -0.299092, 14.768472, 20.276174, 9.647276, 7.407063, 7.407063, -1.942572, -1.942572, -9.669605, -8.20164, -6.844409, -6.844409, -2.397146, -2.397146, -0.299092, -0.299092, 6.349702, 6.349702, 9.934158, 9.934158, 7.407063, 6.349702, 6.961276, 6.961276, 5.605104, 5.605104, 2.508225, 2.508225, 1.714016, 6.961276, 8.900176, 8.900176, 10.150833, 14.768472, 9.647276, 4.592865, 14.768472, -1.942572, -2.600069, -2.600069, -4.838358, -4.838358, -5.909901]"
Dolphin,"[268.38201, 269.151555, 269.151555, 262.608195, 262.608195, 263.066505, 263.066505, 268.38201, 268.38201, 288.138375, 288.138375, 297.04275, 297.04275, 288.888435, 288.888435, 275.26104000000004, 275.26104000000004, 257.19671999999997, 257.19671999999997, 245.99790000000002, 245.99790000000002, 240.47297999999998, 240.47297999999998, 231.23241000000002, 231.23241000000002, 211.097475, 211.097475, 188.37087000000002, 188.37087000000002, 172.85110500000002]","[56.872643, 51.488895, 51.488895, 52.301387, 52.301387, 55.172958, 55.172958, 56.872643, 56.872643, 67.661541, 67.661541, 70.26793, 70.26793, 73.355468, 73.355468, 72.732843, 72.732843, 65.714683, 65.714683, 61.514213, 61.514213, 58.565251, 58.565251, 58.966065, 58.966065, 64.37585, 64.37585, 69.788238, 69.788238, 69.331076]"
Ursa Major,"[206.88531, 200.981205, 200.981205, 193.50708, 193.50708, 183.85629, 183.85629, 165.93232500000002, 165.93232500000002, 165.46015500000001, 165.46015500000001, 178.45752000000002, 178.45752000000002, 183.85629, 178.45752000000002, 176.512725, 176.512725, 167.41593, 167.41593, 154.27428, 167.41593, 155.582325, 165.46015500000001, 148.02649499999998, 148.02649499999998, 143.215725, 143.215725, 135.906405, 143.215725, 134.80241999999998, 148.02649499999998, 147.748005, 147.748005, 127.56646500000001, 127.56646500000001, 142.881795, 142.881795, 165.93232500000002]","[49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 61.751033, 61.751033, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617, 53.69476, 47.779406, 47.779406, 44.498487, 44.498487, 42.914365, 44.498487, 41.499516, 56.382427, 54.064332, 54.064332, 51.6773, 51.6773, 47.156525, 51.6773, 48.041826, 54.064332, 59.038735, 59.038735, 60.718169, 60.718169, 63.061861, 63.061861, 61.751033]"
7 Sages,"[165.93232500000002, 165.46015500000001, 165.46015500000001, 178.45752000000002, 178.45752000000002, 183.85629, 183.85629, 193.50708, 193.50708, 200.981205, 200.981205, 206.88531]","[61.751033, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617, 57.032617, 55.959821, 55.959821, 54.925362, 54.925362, 49.313265]"
Charioteer,"[89.930265, 89.88223500000001, 89.88223500000001, 79.17225, 79.17225, 75.61951499999999, 75.61951499999999, 74.24840999999999, 81.57297, 74.24840999999999, 81.57297, 89.930265]","[37.212585, 44.947433, 44.947433, 45.997991, 45.997991, 41.075837, 41.075837, 33.16609, 28.60745, 33.16609, 28.60745, 37.212585]"
King Trishanku,"[187.791435, 186.649665, 191.930385, 183.786405]","[-57.113212, -63.099092, -59.688764, -58.748928]"
