name,ra,dec
White Ostrich,"[241.35930000000002, 240.08335499999998, 241.70177999999999, 240.08335499999998, 240.08335499999998, 239.712975, 239.712975, 239.22115499999998, 239.22115499999998, 237.73974, 237.73974, 233.785215, 233.785215, 228.0714, 228.0714, 229.37875499999998, 229.37875499999998, 215.654565, 215.654565, 191.40825, 191.40825, 186.649665, 186.649665, 189.29608499999998, 189.29608499999998, 191.57019, 191.57019, 197.02981499999999, 197.02981499999999, 201.00192, 201.00192, 221.32202999999998, 221.32202999999998, 238.786245, 238.786245, 243.85945500000003, 243.85945500000003, 252.4464, 252.4464, 254.65509, 254.65509, 254.89603499999998, 254.89603499999998, 262.96042500000004, 262.96042500000004, 272.76835500000004, 272.76835500000004, 271.70787, 272.76835500000004, 269.449185, 272.76835500000004, 269.197605, 254.89603499999998, 254.574765, 254.574765, 253.64596500000002, 253.64596500000002, 252.96763500000003, 252.96763500000003, 252.54119999999998, 252.54119999999998, 248.97064500000002, 248.97064500000002, 247.35191999999998, 247.35191999999998, 245.297145, 245.297145, 240.08335499999998, 253.64596500000002, 258.03828, 258.03828, 264.3297, 264.3297, 266.89617000000004, 266.89617000000004, 265.62198, 266.89617000000004, 263.402175, 242.99889000000002, 241.70177999999999, 267.464475, 266.89617000000004, 266.89617000000004, 265.71290999999997, 265.62198, 263.402175]","[-19.805453, -22.62171, -20.669192, -22.62171, -22.62171, -26.114105, -26.114105, -29.214073, -29.214073, -33.627165, -33.627165, -41.166757, -41.166757, -52.099247, -52.099247, -58.801208, -58.801208, -58.459117, -58.459117, -60.981318, -60.981318, -63.099092, -63.099092, -69.135564, -69.135564, -68.108119, -68.108119, -65.306023, -65.306023, -64.535668, -64.535668, -62.875648, -62.875648, -63.430727, -63.430727, -63.685682, -63.685682, -59.041378, -59.041378, -55.990141, -55.990141, -53.160438, -53.160438, -49.876145, -49.876145, -47.513121, -47.513121, -43.425216, -47.513121, -41.716295, -47.513121, -44.342246, -53.160438, -50.641185, -50.641185, -42.361313, -42.361313, -38.04738, -38.04738, -34.293232, -34.293232, -28.216016, -28.216016, -26.432002, -26.432002, -25.592796, -25.592796, -22.62171, -42.361313, -43.239189, -43.239189, -42.997824, -42.997824, -40.126997, -40.126997, -39.029983, -40.126997, -37.103821, -19.460708, -20.669192, -37.043304, -40.126997, -40.126997, -36.945564, -39.029983, -37.103821]"
Old Man,"[81.282765, 83.001675, 83.001675, 84.05338499999999, 84.05338499999999, 85.189695, 85.189695, 86.939115, 81.282765, 88.792935, 68.98015500000001, 81.282765, 68.98015500000001, 67.165575, 68.98015500000001, 67.154145, 67.154145, 65.73370499999999, 65.73370499999999, 64.948335, 64.948335, 67.165575, 65.73370499999999, 57.290595, 72.460035, 72.65301, 72.65301, 73.72386, 72.460035, 72.80151000000001, 73.562895, 72.80151000000001, 77.42481000000001, 76.14229499999999, 77.42481000000001, 77.923185, 73.72386, 76.14229499999999, 78.63447, 76.962435, 76.14229499999999, 73.72386, 73.562895, 76.962435]","[6.349702, -0.299092, -0.299092, -1.20192, -1.20192, -1.942572, -1.942572, -9.669605, 6.349702, 7.407063, 16.509301, 6.349702, 16.509301, 15.870883, 16.509301, 19.180431, 19.180431, 17.542514, 17.542514, 15.627642, 15.627642, 15.870883, 17.542514, 24.053415, 6.961276, 8.900176, 8.900176, 10.150833, 6.961276, 5.605104, 2.440672, 5.605104, 15.597232, 15.404105, 15.597232, 16.045673, 10.150833, 15.404105, -8.20164, -5.086446, 15.404105, 10.150833, 2.440672, -5.086446]"
Anta do Norte (Tapi'i),"[332.71362, 342.4203, 332.71362, 326.36220000000003, 326.36220000000003, 319.64445, 332.71362, 337.292745, 337.292745, 346.65339, 346.65339, 2.293305, 2.293305, 10.126740000000002, 10.126740000000002, 10.516214999999999, 10.516214999999999, 12.2739, 10.516214999999999, 356.50851, 356.50851, 354.39083999999997, 354.39083999999997, 335.25642, 335.25642, 324.23740499999997, 324.23740499999997, 319.35397500000005, 324.23740499999997, 323.69394, 319.35397500000005, 318.69775500000003, 21.453239999999997, 14.177145, 319.35397500000005, 314.293395, 314.293395, 312.520425, 312.520425, 310.35798, 310.35798, 312.234555, 312.234555, 316.23276000000004, 316.23276000000004, 314.95647, 328.00431, 332.71362, 326.69836499999997, 328.00431, 326.69836499999997, 314.95647, 2.293305, 6.197895, 6.197895, 8.249955, 8.249955, 12.68163, 12.68163, 17.922435, 14.177145, 2.293305]","[58.201261, 66.200408, 58.201261, 61.120806, 61.120806, 62.585573, 58.201261, 58.415198, 58.415198, 59.41976, 59.41976, 59.14978, 59.14978, 56.537331, 56.537331, 50.512526, 50.512526, 57.815187, 50.512526, 46.420276, 46.420276, 46.458152, 46.458152, 46.536569, 46.536569, 40.413521, 40.413521, 39.394681, 40.413521, 38.534054, 39.394681, 38.045317, 60.235283, 60.71674, 39.394681, 41.167136, 41.167136, 44.059304, 44.059304, 45.280338, 45.280338, 46.114134, 46.114134, 43.927852, 43.927852, 47.520951, 55.796743, 58.201261, 49.30957, 55.796743, 49.30957, 47.520951, 59.14978, 61.831057, 61.831057, 62.931783, 62.931783, 64.247549, 64.247549, 65.018854, 60.71674, 59.14978]"
Veado,"[186.649665, 185.340465, 185.340465, 183.786405, 183.786405, 191.930385, 191.930385, 187.791435, 186.649665, 184.60947, 184.60947, 191.57019, 191.57019, 195.566385, 195.566385, 189.29608499999998, 189.29608499999998, 181.720305, 181.720305, 188.11701, 188.11701, 176.402115, 176.402115, 174.873405, 174.873405, 160.739235, 160.739235, 156.09888, 156.09888, 153.434415, 153.434415, 157.21911, 157.21911, 146.77554, 146.77554, 138.300615, 138.300615, 146.311755, 146.311755, 154.2708, 154.2708, 139.27257, 139.27257, 137.74206, 137.74206, 131.175885, 122.38314, 129.410985, 129.410985, 131.099805, 131.099805, 136.99902, 136.99902, 142.67511, 136.99902, 138.93783000000002, 136.99902, 137.76834000000002, 137.76834000000002, 136.03872, 136.03872, 140.52843000000001, 140.52843000000001, 149.21562, 122.38314, 125.63206499999998, 125.63206499999998, 127.26981, 127.26981, 128.68167, 128.68167, 130.91781, 130.91781, 131.175885, 130.91781, 136.03872, 149.21562, 157.841625, 157.841625, 170.25175499999997, 170.25175499999997, 184.74912, 184.74912, 187.791435]","[-63.099092, -60.401147, -60.401147, -58.748928, -58.748928, -59.688764, -59.688764, -57.113212, -63.099092, -64.003071, -64.003071, -68.108119, -68.108119, -71.548855, -71.548855, -69.135564, -69.135564, -64.61373, -64.61373, -72.132988, -72.132988, -66.728763, -66.728763, -65.397766, -65.397766, -64.39445, -64.39445, -74.031612, -74.031612, -70.037903, -70.037903, -64.172278, -64.172278, -65.072007, -65.072007, -69.717208, -69.717208, -62.507903, -62.507903, -61.332304, -61.332304, -59.275229, -59.275229, -58.966896, -58.966896, -54.708821, -47.336588, -42.989081, -42.989081, -42.649276, -42.649276, -43.432589, -43.432589, -40.466769, -43.432589, -37.413144, -43.432589, -44.867902, -44.867902, -47.097737, -47.097737, -55.010668, -55.010668, -54.56779, -47.336588, -48.490381, -48.490381, -47.928923, -47.928923, -49.944203, -49.944203, -49.822802, -49.822802, -54.708821, -49.822802, -47.097737, -54.56779, -53.715484, -53.715484, -54.491019, -54.491019, -55.143002, -55.143002, -57.113212]"
Joykexo,"[83.001675, 84.05338499999999, 84.05338499999999, 85.189695]","[-0.299092, -1.20192, -1.20192, -1.942572]"
Vespeiro (Eixu),"[57.290595, 56.87115, 56.87115, 56.58156, 56.58156, 56.456685, 56.87115, 56.218905, 56.456685, 56.30205, 56.456685, 56.47698]","[24.053415, 24.105137, 24.105137, 23.948358, 23.948358, 24.367748, 24.105137, 24.113339, 24.367748, 24.467278, 24.367748, 24.554511]"
Queixada da Anta (Tapi'i rainhyka),"[64.948335, 65.73370499999999, 65.73370499999999, 67.154145, 67.154145, 68.98015500000001, 68.98015500000001, 67.165575, 67.165575, 64.948335]","[15.627642, 17.542514, 17.542514, 19.180431, 19.180431, 16.509301, 16.509301, 15.870883, 15.870883, 15.627642]"
