name,ra,dec
Australian kestrel,"[263.402175, 265.62198, 262.69097999999997, 265.62198, 265.62198, 266.89617000000004, 265.62198, 263.28078, 263.28078, 258.03828, 265.62198, 274.406895]","[-37.103821, -39.029983, -37.295811, -39.029983, -39.029983, -40.126997, -39.029983, -41.173066, -41.173066, -43.239189, -39.029983, -36.761686]"
Mallee fowl,"[279.2346, 281.193135, 281.094915, 281.193135, 281.094915, 283.62618, 283.62618, 283.71882, 283.71882, 284.256615, 284.256615, 284.735925, 284.735925, 285.003435, 285.003435, 282.47049, 282.47049, 282.51997500000004, 282.51997500000004, 280.90044, 280.90044, 281.193135]","[38.783692, 37.605115, 39.612721, 37.605115, 39.612721, 36.898613, 36.898613, 33.968576, 33.968576, 32.901273, 32.901273, 32.689557, 32.689557, 32.145514, 32.145514, 32.551058, 32.551058, 33.362667, 33.362667, 36.556605, 36.556605, 37.605115]"
Jacky lizard,"[103.533135, 104.3913, 104.3913, 104.64958499999999, 104.64958499999999, 105.27477, 105.27477, 105.9288, 105.9288, 106.718655, 106.718655, 107.429265, 107.429265, 108.050895, 108.050895, 108.563385, 108.563385, 108.702735, 108.702735, 108.71319, 108.71319, 108.40187999999999, 108.40187999999999, 108.10074, 108.10074, 107.58051, 107.58051, 106.74996, 105.27477, 105.3072, 105.3072, 104.75247, 104.75247, 104.531475, 104.531475, 104.42763, 104.531475, 103.251255, 104.42763, 105.42978000000001, 105.42978000000001, 105.177135, 105.177135, 104.42763, 105.42978000000001, 105.3072]","[-24.184211, -24.630841, -24.630841, -25.414157, -25.414157, -25.215634, -25.215634, -25.083914, -25.083914, -24.960572, -24.960572, -25.231034, -25.231034, -25.942588, -25.942588, -26.352507, -26.352507, -26.772667, -26.772667, -27.037996, -27.037996, -27.35636, -27.35636, -27.474758, -27.474758, -27.49152, -27.49152, -26.656754, -25.215634, -25.948716, -25.948716, -26.474425, -26.474425, -27.164381, -27.164381, -27.537505, -27.164381, -26.957632, -27.537505, -27.93483, -27.93483, -28.489574, -28.489574, -27.537505, -27.93483, -25.948716]"
,"[6.418740000000001, 6.418740000000001]","[-77.254247, -77.254247]"
Male and female brolga,"[49.549635, 52.34337, 52.34337, 56.048895, 56.048895, 78.43932000000001, 78.43932000000001, 107.18682, 107.18682, 104.96067000000001, 104.96067000000001, 109.20762, 78.43932000000001, 114.95187, 78.43932000000001, 83.40631499999999, 78.43932000000001, 56.809425]","[-62.506363, -62.937527, -62.937527, -64.806903, -64.806903, -67.185255, -67.185255, -70.498932, -70.498932, -67.916443, -67.916443, -67.957152, -67.185255, -72.581916, -67.185255, -62.489825, -67.185255, -74.238962]"
Great fish,"[308.82723, 310.31754, 310.31754, 310.864725, 310.864725, 311.6646, 311.6646, 310.147125, 310.147125, 309.909525, 310.147125, 309.7707, 310.147125, 308.82723, 311.6646, 311.91]","[14.674213, 14.58288, 14.58288, 15.074581, 15.074581, 16.124296, 16.124296, 15.643245, 15.643245, 15.912072, 15.643245, 15.838199, 15.643245, 14.674213, 16.124296, 16.238441]"
Wedge tailed eagle,"[95.674935, 99.17098499999999, 99.17098499999999, 101.287215, 101.287215, 104.03426999999999, 104.03426999999999, 105.939555]","[-17.955918, -19.255879, -19.255879, -16.716116, -16.716116, -17.054242, -17.054242, -15.633286]"
"Female eagle, wife of Warepil","[73.223625, 75.359775, 75.359775, 77.2866, 77.2866, 78.074595, 78.074595, 78.30783, 78.30783, 78.23292, 77.2866, 78.63447]","[-5.452695, -7.173965, -7.173965, -8.754081, -8.754081, -11.869219, -11.869219, -12.941291, -12.941291, -16.205468, -8.754081, -8.20164]"
Emu,"[228.0714, 228.0714]","[-52.099247, -52.099247]"
Purple crowned lorikeet,"[293.522295, 296.41643999999997, 296.41643999999997, 298.56201, 298.56201, 300.245745, 300.245745, 301.95987, 296.56491000000005, 297.69582, 297.69582, 298.828305]","[7.378941, 7.613158, 7.613158, 8.461453, 8.461453, 8.557735, 8.557735, 9.399833, 10.613261, 8.868322, 8.868322, 6.406763]"
Meat ant,"[207.369345, 206.81565, 206.81565, 208.671165, 208.671165, 213.91545, 213.91545, 220.18152, 220.18152, 220.2873, 213.91545, 221.24676, 213.91545, 217.9575, 221.24676, 228.87564, 217.9575, 225.48654000000002, 225.48654000000002, 228.87564]","[15.797905, 17.456906, 17.456906, 18.397717, 18.397717, 19.18241, 19.18241, 16.418324, 16.418324, 13.7283, 19.18241, 27.074222, 19.18241, 30.371437, 27.074222, 33.314833, 30.371437, 40.390566, 40.390566, 33.314833]"
Galaxy,"[275.24850000000004, 275.24850000000004]","[-29.828103, -29.828103]"
Singing bushlark,"[207.42846, 207.42846]","[21.264105, 21.264105]"
Pink cockatoo,"[68.98015500000001, 68.98015500000001]","[16.509301, 16.509301]"
Species of ant,"[304.51356, 304.51356]","[-12.544852, -12.544852]"
Boomerang,"[284.07066000000003, 285.77860499999997, 285.77860499999997, 287.08734, 287.08734, 287.50731, 287.50731, 287.368035, 287.368035, 286.60456500000004, 286.60456500000004, 284.680815, 284.680815, 280.94559]","[-42.710676, -42.095105, -42.095105, -40.496703, -40.496703, -39.340796, -39.340796, -37.904474, -37.904474, -37.063437, -37.063437, -37.107357, -37.107357, -38.323441]"
The maned snake,"[136.99902, 136.99902]","[-43.432589, -43.432589]"
