name,ra,dec
Taki-o-Autahi,"[187.791435, 186.649665, 191.930385, 183.786405]","[-57.113212, -63.099092, -59.688764, -58.748928]"
Te Taura-o-te-waka-o-tamarereti,"[210.955935, 219.911475]","[-60.373039, -60.833976]"
Tau-toro,"[85.189695, 84.05338499999999, 84.05338499999999, 83.001675]","[-1.942572, -1.20192, -1.20192, -0.299092]"
The Great Boat of Tama Rereti,"[252.54119999999998, 252.96763500000003, 252.96763500000003, 253.49885999999998, 253.49885999999998, 258.03828, 258.03828, 264.3297, 264.3297, 266.89617000000004, 266.89617000000004, 265.62198, 265.62198, 263.402175, 263.402175, 262.69097999999997]","[-34.293232, -38.04738, -38.04738, -42.362025, -42.362025, -43.239189, -43.239189, -42.997824, -42.997824, -40.126997, -40.126997, -39.029983, -39.029983, -37.103821, -37.103821, -37.295811]"
Matakarehu,"[68.98015500000001, 67.165575, 67.165575, 64.948335, 64.948335, 65.73370499999999, 65.73370499999999, 67.154145]","[16.509301, 15.870883, 15.870883, 15.627642, 15.627642, 17.542514, 17.542514, 19.180431]"
The Sail of Tainui,"[68.98015500000001, 67.165575, 67.165575, 64.948335, 64.948335, 65.73370499999999, 65.73370499999999, 67.154145, 68.98015500000001, 67.154145, 64.948335, 83.001675, 56.218905, 64.948335, 85.189695, 84.05338499999999, 84.05338499999999, 83.001675]","[16.509301, 15.870883, 15.870883, 15.627642, 15.627642, 17.542514, 17.542514, 19.180431, 16.509301, 19.180431, 15.627642, -0.299092, 24.113339, 15.627642, -1.942572, -1.20192, -1.20192, -0.299092]"
