name,ra,dec
Aurvandil's Toe,"[233.23243499999998, 231.95727, 231.95727, 233.67192, 233.67192, 235.68571500000002, 235.68571500000002, 237.39855, 237.39855, 239.39691000000002, 239.39691000000002, 240.360705]","[31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788, 26.87788, 29.851061]"
Wolf's Mouth,"[68.98015500000001, 67.165575, 67.165575, 64.948335, 64.948335, 65.73370499999999, 65.73370499999999, 67.154145]","[16.509301, 15.870883, 15.870883, 15.627642, 15.627642, 17.542514, 17.542514, 19.180431]"
The Fishermen,"[85.189695, 84.05338499999999, 84.05338499999999, 83.001675]","[-1.942572, -1.20192, -1.20192, -0.299092]"
Woman's Cart,"[37.94625, 263.05377, 263.05377, 251.49238499999998, 251.49238499999998, 236.014485, 236.014485, 244.376865, 244.376865, 230.182245, 230.182245, 222.676575, 222.676575, 236.014485]","[89.264109, 86.58646, 86.58646, 82.037262, 82.037262, 77.794493, 77.794493, 75.75533, 75.75533, 71.834016, 71.834016, 74.155505, 74.155505, 77.794493]"
Man's Cart,"[206.88531, 200.981205, 200.981205, 193.50708, 193.50708, 183.85629, 183.85629, 165.93232500000002, 165.93232500000002, 165.46015500000001, 165.46015500000001, 178.45752000000002, 178.45752000000002, 183.85629]","[49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 61.751033, 61.751033, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617]"
The Asar Battlefield,"[89.930265, 89.88223500000001, 89.88223500000001, 79.17225, 79.17225, 75.61951499999999, 75.61951499999999, 74.24840999999999, 81.57297, 74.24840999999999, 81.57297, 89.930265]","[37.212585, 44.947433, 44.947433, 45.997991, 45.997991, 41.075837, 41.075837, 33.16609, 28.60745, 33.16609, 28.60745, 37.212585]"
