name,ra,dec
Leo Minor,"[163.32789, 156.970905, 156.970905, 151.857315, 151.857315, 143.55576000000002, 151.857315, 156.47842500000002, 156.47842500000002, 163.32789]","[34.214871, 36.707212, 36.707212, 35.244693, 35.244693, 36.397558, 35.244693, 33.79612, 33.79612, 34.214871]"
Bootes,"[206.81565, 207.369345, 207.369345, 208.671165, 208.671165, 213.91545, 213.91545, 220.2873, 220.2873, 221.24676, 221.24676, 213.91545, 221.24676, 228.87564, 228.87564, 231.122715, 231.122715, 225.48654000000002, 225.48654000000002, 228.87564, 225.48654000000002, 218.01954, 218.01954, 217.9575, 217.9575, 218.67, 218.67, 221.24676, 218.01954, 214.09610999999998, 214.09610999999998, 216.299505, 216.299505, 213.37077, 213.37077, 214.09610999999998]","[17.456906, 15.797905, 15.797905, 18.397717, 18.397717, 19.18241, 19.18241, 13.7283, 13.7283, 27.074222, 27.074222, 19.18241, 27.074222, 33.314833, 33.314833, 37.377167, 37.377167, 40.390566, 40.390566, 33.314833, 40.390566, 38.308253, 38.308253, 30.371437, 30.371437, 29.74513, 29.74513, 27.074222, 38.308253, 46.088305, 46.088305, 51.850744, 51.850744, 51.789965, 51.789965, 46.088305]"
body,"[213.91545, 220.2873, 220.2873, 221.24676, 221.24676, 213.91545]","[19.18241, 13.7283, 13.7283, 27.074222, 27.074222, 19.18241]"
head,"[221.24676, 228.87564, 228.87564, 225.48654000000002, 225.48654000000002, 218.01954, 218.01954, 217.9575, 217.9575, 218.67, 218.67, 221.24676]","[27.074222, 33.314833, 33.314833, 40.390566, 40.390566, 38.308253, 38.308253, 30.371437, 30.371437, 29.74513, 29.74513, 27.074222]"
pipe,"[218.01954, 214.09610999999998, 214.09610999999998, 216.299505, 216.299505, 213.37077, 213.37077, 214.09610999999998]","[38.308253, 46.088305, 46.088305, 51.850744, 51.850744, 51.789965, 51.789965, 46.088305]"
Corona Borealis,"[233.23243499999998, 231.95727, 231.95727, 233.67192, 233.67192, 235.68571500000002, 235.68571500000002, 237.39855, 237.39855, 239.39691000000002]","[31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788]"
Coma Berenices,"[197.49703499999998, 197.96856, 197.96856, 186.73449, 197.96856, 186.60027, 197.96856, 186.747075, 197.96856, 187.227945]","[17.529431, 27.878183, 27.878183, 28.268423, 27.878183, 27.268237, 27.878183, 26.825699, 27.878183, 25.912852]"
Lyra,"[279.2346, 281.094915, 281.094915, 283.833735, 283.833735, 288.43953, 288.43953, 289.09206, 289.09206, 284.735925, 284.735925, 282.51997500000004, 282.51997500000004, 274.965465, 274.965465, 279.2346, 284.735925, 283.62618, 282.51997500000004, 281.193135]","[38.783692, 39.612721, 39.612721, 43.946088, 43.946088, 39.145968, 39.145968, 38.133731, 38.133731, 32.689557, 32.689557, 33.362667, 33.362667, 36.064547, 36.064547, 38.783692, 32.689557, 36.898613, 33.362667, 37.605115]"
Cygnus,"[289.2756, 296.24361, 296.24361, 305.557095, 305.557095, 310.35798, 310.35798, 316.23276000000004, 310.35798, 303.86800500000004, 303.86800500000004, 292.42647, 292.42647, 289.2756, 305.557095, 311.55267000000003, 311.55267000000003, 318.234105, 318.234105, 314.293395, 314.293395, 310.35798, 314.293395, 319.35397500000005, 319.35397500000005, 318.69775500000003, 305.557095, 299.07657, 299.07657, 294.84418500000004, 294.84418500000004, 292.680345]","[53.368459, 45.13081, 45.13081, 40.256679, 40.256679, 45.280338, 45.280338, 43.927852, 45.280338, 47.714208, 47.714208, 51.729779, 51.729779, 53.368459, 40.256679, 33.970256, 33.970256, 30.226916, 30.226916, 41.167136, 41.167136, 45.280338, 41.167136, 39.394681, 39.394681, 38.045317, 40.256679, 35.083424, 35.083424, 30.153321, 30.153321, 27.959681]"
wing,"[305.557095, 296.24361, 296.24361, 289.2756, 289.2756, 292.42647, 292.42647, 303.86800500000004, 303.86800500000004, 310.35798]","[40.256679, 45.13081, 45.13081, 53.368459, 53.368459, 51.729779, 51.729779, 47.714208, 47.714208, 45.280338]"
wing,"[305.557095, 311.55267000000003, 311.55267000000003, 318.234105, 318.234105, 314.293395, 314.293395, 310.35798]","[40.256679, 33.970256, 33.970256, 30.226916, 30.226916, 41.167136, 41.167136, 45.280338]"
feet,"[316.23276000000004, 310.35798, 310.35798, 314.293395, 314.293395, 319.35397500000005, 319.35397500000005, 318.69775500000003]","[43.927852, 45.280338, 45.280338, 41.167136, 41.167136, 39.394681, 39.394681, 38.045317]"
outstretched neck,"[305.557095, 299.07657, 299.07657, 294.84418500000004, 294.84418500000004, 292.680345]","[40.256679, 35.083424, 35.083424, 30.153321, 30.153321, 27.959681]"
Hercules,"[258.661905, 258.75796499999996, 258.75796499999996, 262.68462, 262.68462, 266.614785, 266.614785, 271.88562, 271.88562, 270.37669500000004, 270.37669500000004, 272.18955, 272.18955, 275.924505, 275.924505, 281.415525, 281.415525, 281.75529, 271.88562, 269.44116, 269.44116, 258.76182, 258.76182, 260.92062000000004, 260.92062000000004, 269.06325000000004, 269.06325000000004, 264.86620500000004, 264.86620500000004, 248.52575999999996, 248.52575999999996, 242.19243, 242.19243, 244.935165, 244.935165, 264.86620500000004, 266.614785, 255.07240499999997, 255.07240499999997, 250.32169500000003, 250.32169500000003, 250.72399499999997, 250.72399499999997, 258.76182, 258.76182, 255.07240499999997, 255.07240499999997, 247.55502, 247.55502, 245.48007]","[14.390333, 24.839204, 24.839204, 26.110645, 26.110645, 27.720676, 27.720676, 28.762488, 28.762488, 21.595782, 21.595782, 20.814557, 20.814557, 21.769752, 21.769752, 20.546308, 20.546308, 18.181519, 28.762488, 29.24788, 29.24788, 36.809162, 36.809162, 37.145946, 37.145946, 37.250539, 37.250539, 46.006332, 46.006332, 42.437041, 42.437041, 44.934906, 44.934906, 46.313366, 46.313366, 46.006332, 27.720676, 30.926405, 30.926405, 31.602726, 31.602726, 38.922254, 38.922254, 36.809162, 36.809162, 30.926405, 30.926405, 21.489613, 21.489613, 19.15313]"
Keystone,"[258.76182, 250.72399499999997, 250.72399499999997, 250.32169500000003, 250.32169500000003, 255.07240499999997, 255.07240499999997, 258.76182]","[36.809162, 38.922254, 38.922254, 31.602726, 31.602726, 30.926405, 30.926405, 36.809162]"
club,"[264.86620500000004, 244.935165, 244.935165, 242.19243, 242.19243, 248.52575999999996, 248.52575999999996, 264.86620500000004]","[46.006332, 46.313366, 46.313366, 44.934906, 44.934906, 42.437041, 42.437041, 46.006332]"
Vulpecula,"[292.176405, 300.27519]","[24.664905, 27.753573]"
Andromeda,"[2.096865, 9.83193, 9.83193, 9.2202, 9.2202, 17.43291, 17.43291, 9.83193, 9.83193, 9.63903, 9.63903, 11.834715000000001, 11.834715000000001, 14.301675, 17.43291, 24.199485, 24.199485, 30.97476, 17.43291, 14.188274999999999, 14.188274999999999, 12.45351, 12.45351, 17.37552, 17.37552, 24.498075, 9.2202, 4.418205, 4.418205, 354.53415, 354.39083999999997, 355.102035, 355.102035, 354.53415, 354.53415, 345.480255]","[29.090432, 30.861024, 30.861024, 33.719344, 33.719344, 35.620558, 35.620558, 30.861024, 30.861024, 29.311751, 29.311751, 24.267178, 24.267178, 23.417648, 35.620558, 41.405459, 41.405459, 42.329725, 35.620558, 38.499345, 38.499345, 41.078911, 41.078911, 47.241792, 47.241792, 48.628213, 33.719344, 37.537641, 37.537641, 43.268073, 46.458152, 44.333932, 44.333932, 43.268073, 43.268073, 42.325979]"
the chain,"[354.39083999999997, 355.102035, 355.102035, 354.53415, 354.53415, 345.480255]","[46.458152, 44.333932, 44.333932, 43.268073, 43.268073, 42.325979]"
Pegasus,"[346.19022, 345.943515, 345.943515, 3.30897, 3.30897, 346.19022, 346.19022, 341.632815, 341.632815, 342.500775, 342.500775, 340.75056, 340.75056, 332.49685500000004, 347.93412, 346.19022, 346.19022, 346.751085, 346.19022, 341.67324, 341.67324, 340.365495, 340.365495, 332.54994, 340.365495, 326.04649500000005, 341.67324, 331.752705, 331.752705, 326.1279, 341.632815, 331.752705, 331.752705, 326.16137999999995, 326.16137999999995, 320.52165]","[15.205264, 28.082789, 28.082789, 15.183596, 15.183596, 15.205264, 15.205264, 23.565654, 23.565654, 24.601579, 24.601579, 30.221245, 30.221245, 33.178224, 8.720116, 15.205264, 15.205264, 9.409492, 15.205264, 12.172888, 12.172888, 10.831364, 10.831364, 6.197865, 10.831364, 9.875011, 12.172888, 25.345112, 25.345112, 17.350017, 23.565654, 25.345112, 25.345112, 25.645036, 25.645036, 19.804508]"
head,"[341.632815, 342.500775, 342.500775, 340.75056, 340.75056, 332.49685500000004]","[23.565654, 24.601579, 24.601579, 30.221245, 30.221245, 33.178224]"
tail,"[346.751085, 346.19022, 346.19022, 347.93412]","[9.409492, 15.205264, 15.205264, 8.720116]"
wing,"[346.19022, 345.943515, 345.943515, 3.30897, 3.30897, 346.19022]","[15.205264, 28.082789, 28.082789, 15.183596, 15.183596, 15.205264]"
Triangulum,"[34.328595, 32.38587, 32.38587, 28.27044, 28.27044, 34.328595]","[33.847194, 34.987297, 34.987297, 29.578829, 29.578829, 33.847194]"
Lacerta,"[333.9924, 333.46968, 333.46968, 337.62192, 337.62192, 340.128495, 340.128495, 337.38259500000004, 337.38259500000004, 335.25642, 335.25642, 337.62192, 337.38259500000004, 336.12913499999996, 336.12913499999996, 335.890125, 335.890125, 337.822725, 337.822725, 337.38259500000004]","[37.748737, 39.714927, 39.714927, 43.123376, 43.123376, 44.276305, 44.276305, 47.706887, 47.706887, 46.536569, 46.536569, 43.123376, 47.706887, 49.476392, 49.476392, 52.229046, 52.229046, 50.282491, 50.282491, 47.706887]"
Perseus,"[56.07972, 58.533, 58.533, 59.741249999999994, 59.741249999999994, 59.46345, 59.46345, 47.04222, 47.04222, 46.29405, 46.29405, 42.645945, 59.46345, 56.298480000000005, 56.298480000000005, 52.643685, 52.643685, 51.08067, 51.08067, 54.122385, 54.122385, 55.73124, 55.73124, 62.165355000000005, 62.165355000000005, 63.724425, 63.724425, 64.56084, 64.56084, 61.646024999999995, 47.04222, 47.37387, 47.37387, 47.265075, 47.265075, 43.564425, 43.564425, 42.674175, 42.674175, 46.19913, 46.19913, 43.564425, 46.19913, 51.08067, 51.08067, 47.265075, 47.265075, 41.04951, 41.04951, 25.915125]","[32.288248, 31.883635, 31.883635, 35.791033, 35.791033, 40.010215, 40.010215, 40.955648, 40.955648, 38.840274, 38.840274, 38.318644, 40.010215, 42.578549, 42.578549, 47.995216, 47.995216, 49.86118, 49.86118, 48.192634, 48.192634, 47.787551, 47.787551, 47.712513, 47.712513, 48.409331, 48.409331, 50.295502, 50.295502, 50.351262, 40.955648, 44.857544, 44.857544, 49.613278, 49.613278, 52.762479, 52.762479, 55.895496, 55.895496, 53.50644, 53.50644, 52.762479, 53.50644, 49.86118, 49.86118, 49.613278, 49.613278, 49.228448, 49.228448, 50.688732]"
Taurus,"[81.57297, 70.56126, 70.56126, 66.576915, 66.576915, 56.87115, 70.56126, 84.41119499999999, 84.41119499999999, 68.98015500000001, 68.98015500000001, 67.165575, 67.165575, 64.948335, 64.948335, 65.73370499999999, 65.73370499999999, 66.37241999999999, 66.37241999999999, 67.154145, 67.154145, 66.576915, 64.948335, 69.539415, 69.539415, 68.913585, 64.948335, 63.88357500000001, 64.948335, 60.17007, 60.17007, 51.7923, 51.7923, 52.718235, 51.7923, 51.20331, 51.20331, 54.218265, 51.20331, 60.78909]","[28.60745, 22.956926, 22.956926, 22.813583, 22.813583, 24.105137, 22.956926, 21.142549, 21.142549, 16.509301, 16.509301, 15.870883, 15.870883, 15.627642, 15.627642, 17.542514, 17.542514, 17.92791, 17.92791, 19.180431, 19.180431, 22.813583, 15.627642, 12.510838, 12.510838, 10.16079, 15.627642, 8.892357, 15.627642, 12.490347, 12.490347, 9.73268, 9.73268, 12.936678, 9.73268, 9.02887, 9.02887, 0.401662, 9.02887, 5.989305]"
head,"[64.948335, 67.165575, 67.165575, 68.98015500000001, 68.98015500000001, 84.41119499999999, 84.41119499999999, 70.56126, 70.56126, 66.576915, 66.576915, 67.154145, 67.154145, 66.37241999999999, 66.37241999999999, 65.73370499999999, 65.73370499999999, 64.948335]","[15.627642, 15.870883, 15.870883, 16.509301, 16.509301, 21.142549, 21.142549, 22.956926, 22.956926, 22.813583, 22.813583, 19.180431, 19.180431, 17.92791, 17.92791, 17.542514, 17.542514, 15.627642]"
horn,"[81.57297, 70.56126]","[28.60745, 22.956926]"
horn,"[56.87115, 66.576915]","[24.105137, 22.813583]"
tail,"[51.7923, 52.718235]","[9.73268, 12.936678]"
Aries,"[47.90733, 44.80302, 44.80302, 33.200325, 33.200325, 28.38255, 44.80302, 42.495945, 42.495945, 41.9772, 41.9772, 40.86297, 40.86297, 42.495945, 40.86297, 31.793325000000003, 31.793325000000003, 29.48217, 29.48217, 28.66002, 28.66002, 31.793325000000003, 31.793325000000003, 33.200325]","[19.726677, 21.340429, 21.340429, 21.210993, 21.210993, 19.293852, 21.340429, 27.260507, 27.260507, 29.247118, 29.247118, 27.707146, 27.707146, 27.260507, 27.707146, 23.462423, 23.462423, 23.596061, 23.596061, 20.808035, 20.808035, 23.462423, 23.462423, 21.210993]"
head,"[31.793325000000003, 28.66002, 28.66002, 29.48217, 29.48217, 31.793325000000003]","[23.462423, 20.808035, 20.808035, 23.596061, 23.596061, 23.462423]"
tail,"[42.495945, 41.9772, 41.9772, 40.86297, 40.86297, 42.495945]","[27.260507, 29.247118, 29.247118, 27.707146, 27.707146, 27.260507]"
Gemini,"[99.42792, 106.027215, 106.027215, 110.030745, 110.030745, 109.52324999999999, 109.52324999999999, 101.32236, 110.030745, 113.98062, 113.98062, 116.111895, 113.98062, 116.329155, 113.98062, 111.43168499999999, 111.43168499999999, 107.784885, 107.784885, 112.277925, 112.277925, 113.64951, 107.784885, 103.19724, 107.784885, 100.98303, 100.98303, 97.240785, 100.98303, 95.740095, 95.740095, 93.719415, 93.719415, 91.03006500000001]","[16.399252, 20.570297, 20.570297, 21.98232, 21.98232, 16.540383, 16.540383, 12.895591, 21.98232, 26.895741, 26.895741, 24.397993, 26.895741, 28.026199, 26.895741, 27.79808, 27.79808, 30.245163, 30.245163, 31.78455, 31.78455, 31.888276, 30.245163, 33.961254, 30.245163, 25.131124, 25.131124, 20.212133, 25.131124, 22.513586, 22.513586, 22.506799, 22.506799, 23.263341]"
Auriga,"[74.24840999999999, 89.930265, 89.930265, 89.88223500000001, 89.88223500000001, 89.88166500000001, 89.88166500000001, 79.17225, 79.17225, 89.88223500000001, 74.24840999999999, 76.6287, 76.6287, 79.17225, 79.17225, 75.492225, 75.492225, 75.61951499999999, 75.61951499999999, 76.6287]","[33.16609, 37.212585, 37.212585, 44.947433, 44.947433, 54.284656, 54.284656, 45.997991, 45.997991, 44.947433, 33.16609, 41.234474, 41.234474, 45.997991, 45.997991, 43.823308, 43.823308, 41.075837, 41.075837, 41.234474]"
Canis Minor,"[114.825495, 111.78768]","[5.224993, 8.289315]"
Cancer,"[131.67426, 130.82146500000002, 130.82146500000002, 123.053025, 123.053025, 124.12884000000001, 124.12884000000001, 131.17125, 131.17125, 130.82146500000002, 131.17125, 134.62176]","[28.759898, 21.468501, 21.468501, 17.647771, 17.647771, 9.185545, 9.185545, 18.154309, 18.154309, 21.468501, 18.154309, 11.857701]"
Lynx,"[140.263875, 139.711035, 139.711035, 135.160275, 135.160275, 125.70881999999999, 125.70881999999999, 111.67855499999999, 111.67855499999999, 104.31918, 104.31918, 94.90578000000001]","[34.392562, 36.802597, 36.802597, 41.782911, 41.782911, 43.188131, 43.188131, 49.211527, 49.211527, 58.422759, 58.422759, 59.010964]"
Orion,"[85.189695, 84.05338499999999, 84.05338499999999, 83.001675, 90.979935, 92.984985, 92.984985, 91.893015, 91.893015, 88.59579000000001, 88.59579000000001, 90.979935, 92.47311, 90.59583, 90.59583, 88.792935, 88.792935, 85.189695, 85.189695, 86.939115, 78.63447, 81.119235, 81.119235, 83.001675, 83.001675, 81.282765, 81.282765, 82.69605, 82.69605, 83.78449499999999, 82.69605, 88.792935, 81.282765, 72.460035, 72.460035, 72.80151000000001, 72.80151000000001, 73.562895, 73.562895, 74.63709, 72.460035, 72.65301, 72.65301, 73.72386, 73.72386, 74.092815]","[-1.942572, -1.20192, -1.20192, -0.299092, 20.138452, 14.208765, 14.208765, 14.768472, 14.768472, 20.276174, 20.276174, 20.138452, 14.85276, 9.647276, 9.647276, 7.407063, 7.407063, -1.942572, -1.942572, -9.669605, -8.20164, -2.397146, -2.397146, -0.299092, -0.299092, 6.349702, 6.349702, 5.948139, 5.948139, 9.934158, 5.948139, 7.407063, 6.349702, 6.961276, 6.961276, 5.605104, 5.605104, 2.440672, 2.440672, 1.714016, 6.961276, 8.900176, 8.900176, 10.150833, 10.150833, 13.514466]"
belt,"[85.189695, 84.05338499999999, 84.05338499999999, 83.001675]","[-1.942572, -1.20192, -1.20192, -0.299092]"
club,"[92.984985, 90.979935, 90.979935, 88.59579000000001, 88.59579000000001, 91.893015, 91.893015, 92.984985]","[14.208765, 20.138452, 20.138452, 20.276174, 20.276174, 14.768472, 14.768472, 14.208765]"
shield,"[74.092815, 73.72386, 73.72386, 72.65301, 72.65301, 72.460035, 72.460035, 72.80151000000001, 72.80151000000001, 73.562895, 73.562895, 74.63709]","[13.514466, 10.150833, 10.150833, 8.900176, 8.900176, 6.961276, 6.961276, 5.605104, 5.605104, 2.440672, 2.440672, 1.714016]"
Canis Major,"[103.547505, 105.939555, 105.939555, 104.03426999999999, 104.03426999999999, 101.287215, 101.287215, 105.756135, 105.756135, 107.097855, 107.097855, 108.702735, 108.702735, 111.02376, 104.656455, 105.42978000000001, 105.42978000000001, 107.097855, 104.656455, 103.533135, 103.533135, 99.17098499999999, 99.17098499999999, 97.964025, 99.17098499999999, 95.674935, 99.17098499999999, 101.287215, 104.656455, 102.460245, 95.078295, 104.656455, 104.03426999999999, 103.547505]","[-12.038628, -15.633286, -15.633286, -17.054242, -17.054242, -16.716116, -16.716116, -23.833291, -23.833291, -26.3932, -26.3932, -26.772667, -26.772667, -29.303104, -28.972084, -27.93483, -27.93483, -26.3932, -28.972084, -24.184211, -24.184211, -19.255879, -19.255879, -23.418422, -19.255879, -17.955918, -19.255879, -16.716116, -28.972084, -32.508478, -30.063367, -28.972084, -17.054242, -12.038628]"
