name,ra,dec
Num Sum (The Bow and the Arrow),"[289.2756, 292.42647, 292.42647, 296.24361, 296.24361, 305.557095, 305.557095, 310.35798, 305.557095, 311.55267000000003, 311.55267000000003, 318.234105, 318.234105, 326.03565000000003, 305.557095, 299.07657, 299.07657, 292.680345]","[53.368459, 51.729779, 51.729779, 45.13081, 45.13081, 40.256679, 40.256679, 45.280338, 40.256679, 33.970256, 33.970256, 30.226916, 30.226916, 28.742632, 40.256679, 35.083424, 35.083424, 27.959681]"
Hun Tavan Od (The Five Stars Woman),"[28.598760000000002, 21.453239999999997, 21.453239999999997, 14.177145, 14.177145, 10.126740000000002, 10.126740000000002, 2.293305]","[63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 56.537331, 56.537331, 59.14978]"
Doloon Burkhan (The Seven Buddhas),"[206.88531, 200.981205, 200.981205, 193.50708, 193.50708, 183.85629, 183.85629, 178.45752000000002, 178.45752000000002, 165.46015500000001, 165.46015500000001, 165.93232500000002, 165.93232500000002, 183.85629]","[49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 53.69476, 53.69476, 56.382427, 56.382427, 61.751033, 61.751033, 57.032617]"
Gurvan Maral Od (The Three Stags),"[310.35798, 279.2346, 279.2346, 297.69582, 297.69582, 310.35798]","[45.280338, 38.783692, 38.783692, 8.868322, 8.868322, 45.280338]"
