name,ra,dec
Mamalhuaztli (The New fire),"[85.189695, 84.05338499999999, 84.05338499999999, 83.001675, 84.05338499999999, 83.84652, 83.84652, 83.818605, 83.818605, 83.76116999999999]","[-1.942572, -1.20192, -1.20192, -0.299092, -1.20192, -4.838358, -4.838358, -5.389696, -5.389696, -6.002027]"
Tianquiztli  (The Market),"[57.290595, 56.74749, 56.74749, 56.47698, 56.47698, 56.30205, 56.30205, 56.200889999999994, 56.200889999999994, 56.218905, 56.218905, 56.58156, 56.58156, 57.290595]","[24.053415, 24.520124, 24.520124, 24.554511, 24.554511, 24.467278, 24.467278, 24.28947, 24.28947, 24.113339, 24.113339, 23.948358, 23.948358, 24.053415]"
Citlaltlachtli (The ball game of the stars),"[116.329155, 113.64951, 113.64951, 107.784885, 107.784885, 100.98303, 100.98303, 95.740095, 95.740095, 97.240785, 97.240785, 99.42792, 99.42792, 106.027215, 106.027215, 113.98062, 113.98062, 116.329155]","[28.026199, 31.888276, 31.888276, 30.245163, 30.245163, 25.131124, 25.131124, 22.513586, 22.513586, 20.212133, 20.212133, 16.399252, 16.399252, 20.570297, 20.570297, 26.895741, 26.895741, 28.026199]"
Xonecuilli (Twisted foot),"[37.94625, 263.05377, 263.05377, 251.49238499999998, 251.49238499999998, 236.014485, 236.014485, 222.676575, 222.676575, 230.182245, 230.182245, 244.376865]","[89.264109, 86.58646, 86.58646, 82.037262, 82.037262, 77.794493, 77.794493, 74.155505, 74.155505, 71.834016, 71.834016, 75.75533]"
Colotl Ixayac (Scorpion face),"[263.402175, 265.62198, 265.62198, 266.89617000000004, 266.89617000000004, 264.3297, 264.3297, 258.03828, 258.03828, 253.49885999999998, 253.49885999999998, 252.96763500000003, 252.96763500000003, 252.54119999999998, 252.54119999999998, 248.97064500000002, 248.97064500000002, 247.35191999999998, 247.35191999999998, 240.08335499999998, 247.35191999999998, 239.712975, 247.35191999999998, 241.35930000000002]","[-37.103821, -39.029983, -39.029983, -40.126997, -40.126997, -42.997824, -42.997824, -43.239189, -43.239189, -42.362025, -42.362025, -38.04738, -38.04738, -34.293232, -34.293232, -28.216016, -28.216016, -26.432002, -26.432002, -22.62171, -26.432002, -26.114105, -26.432002, -19.805453]"
