name,ra,dec
Rooftop,"[331.445985, 332.54994, 332.54994, 326.04649500000005]","[-0.319851, 6.197865, 6.197865, 9.875011]"
Tail,"[252.54119999999998, 252.96763500000003, 252.96763500000003, 253.49885999999998, 253.49885999999998, 258.03828, 258.03828, 264.3297, 264.3297, 266.89617000000004, 266.89617000000004, 265.62198, 265.62198, 263.402175, 263.402175, 262.69097999999997, 252.96763500000003, 253.083945]","[-34.293232, -38.04738, -38.04738, -42.362025, -42.362025, -43.239189, -43.239189, -42.997824, -42.997824, -40.126997, -40.126997, -39.029983, -39.029983, -37.103821, -37.103821, -37.295811, -38.04738, -38.017536]"
Stomach,"[40.86297, 41.9772, 41.9772, 42.495945]","[27.707146, 29.247118, 29.247118, 27.260507]"
Heart,"[245.297145, 247.35191999999998, 247.35191999999998, 248.97064500000002]","[-25.592796, -26.432002, -26.432002, -28.216016]"
Star,"[141.89685, 142.287075, 142.287075, 142.99553999999998, 142.99553999999998, 144.96400500000001, 141.89685, 140.12090999999998, 140.12090999999998, 139.943265, 139.943265, 142.912455, 141.89685, 142.912455]","[-8.658603, -2.768964, -2.768964, -1.184664, -1.184664, -1.14281, -8.658603, -9.555695, -9.555695, -11.974853, -11.974853, -10.552013, -8.658603, -10.552013]"
Emptiness,"[322.88973, 318.955965]","[-5.571172, 5.247845]"
Wings,"[164.94366000000002, 171.22053, 164.94366000000002, 170.841225, 164.94366000000002, 162.406185, 171.22053, 176.190735, 176.190735, 170.841225, 176.190735, 179.003985, 171.22053, 169.835205, 169.835205, 174.666735, 174.666735, 171.78966, 171.78966, 171.15246, 171.15246, 166.39164, 166.39164, 165.63019500000001, 171.15246, 174.17047499999998, 174.17047499999998, 177.09786, 170.841225, 167.91453, 167.91453, 172.948155, 172.948155, 166.333005, 166.333005, 174.75182999999998]","[-18.298783, -17.68401, -18.298783, -18.779973, -18.298783, -16.193648, -17.68401, -18.350674, -18.350674, -18.779973, -18.350674, -17.150829, -17.68401, -14.778541, -14.778541, -13.201943, -13.201943, -12.356749, -12.356749, -10.859323, -10.859323, -11.088901, -11.088901, -9.994852, -10.859323, -9.802247, -9.802247, -10.313105, -18.779973, -22.825847, -22.825847, -20.776472, -20.776472, -27.293612, -27.293612, -24.721093]"
Extended Net,"[147.86955, 152.647005, 152.647005, 156.52263, 156.52263, 151.01172, 147.86955, 151.01172, 147.86955, 145.07652000000002, 156.52263, 159.645645]","[-14.846603, -12.354083, -12.354083, -16.83629, -16.83629, -18.101406, -14.846603, -18.101406, -14.846603, -14.332292, -16.83629, -16.876572]"
Chariot,"[188.596815, 187.466085, 187.466085, 183.95155499999998, 183.95155499999998, 182.53119, 183.95155499999998, 185.1402, 187.466085, 188.01764999999997, 182.53119, 182.103375]","[-23.396759, -16.515432, -16.515432, -17.541929, -17.541929, -22.619766, -17.541929, -22.215901, -16.515432, -16.196007, -22.619766, -24.728875]"
Purple Forbidden Right Wall,"[211.097475, 188.37087000000002, 188.37087000000002, 172.85110500000002, 172.85110500000002, 143.620545, 143.620545, 103.42602000000001, 103.42602000000001, 73.51254, 73.51254, 49.996935]","[64.37585, 69.788238, 69.788238, 69.331076, 69.331076, 69.830343, 69.830343, 68.888309, 68.888309, 66.342678, 66.342678, 65.652292]"
Purple Forbidden Left Wall,"[231.23241000000002, 240.47297999999998, 240.47297999999998, 245.99790000000002, 245.99790000000002, 257.19671999999997, 257.19671999999997, 283.59915, 283.59915, 307.87668, 307.87668, 346.974345, 346.974345, 11.941785]","[58.966065, 58.565251, 58.565251, 61.514213, 61.514213, 65.714683, 65.714683, 71.297192, 71.297192, 74.954619, 74.954619, 75.387496, 75.387496, 74.847573]"
Turtle Beak,"[83.78449499999999, 83.70516, 83.78449499999999, 84.22662]","[9.934158, 9.489579, 9.934158, 9.290673]"
Eight Kinds of Crops,"[89.88166500000001, 88.71160499999999, 88.71160499999999, 86.62659000000001, 86.62659000000001, 78.380295, 86.62659000000001, 74.3217, 76.669335, 76.535235, 76.535235, 88.74094500000001]","[54.284656, 55.706947, 55.706947, 56.115575, 56.115575, 62.691132, 56.115575, 53.752101, 51.59772, 58.972372, 58.972372, 59.888367]"
Net for Catching Birds,"[2.8160849999999997, 0.9349500000000001, 0.9349500000000001, 359.58843, 2.8160849999999997, 1.1254950000000001, 2.8160849999999997, 5.715764999999999, 2.8160849999999997, 3.660075]","[-15.467977, -17.335988, -17.335988, -15.847484, -15.467977, -10.509523, -15.467977, -12.209438, -15.467977, -18.932866]"
Rotten Gourd,"[308.303205, 308.48767499999997, 308.48767499999997, 309.68327999999997, 309.68327999999997, 309.454665, 309.454665, 309.782415]","[11.303263, 13.027255, 13.027255, 13.315125, 13.315125, 11.377676, 11.377676, 10.086203]"
Decayed Mortar,"[328.48212, 331.52871, 331.52871, 343.131405, 343.131405, 340.592025]","[-37.364852, -39.543353, -39.543353, -32.875504, -32.875504, -29.361046]"
