name,ra,dec
Aquarius,"[338.83908, 337.207965, 337.207965, 335.41407000000004, 335.41407000000004, 331.445985, 331.445985, 322.88973, 322.88973, 317.39853, 317.39853, 311.91897, 337.207965, 336.31926, 335.41407000000004, 334.20847499999996, 334.20847499999996, 331.60929, 334.20847499999996, 343.15364999999997, 343.15364999999997, 342.39792, 342.39792, 343.662555, 343.662555, 347.361645, 347.361645, 350.74263, 350.74263, 355.680585]","[-0.117498, -0.019972, -0.019972, -1.387331, -1.387331, -0.319851, -0.319851, -5.571172, -5.571172, -11.371693, -11.371693, -9.495776, -0.019972, 1.377401, -1.387331, -7.78329, -7.78329, -13.869679, -7.78329, -7.579599, -7.579599, -13.592632, -13.592632, -15.82082, -15.82082, -21.17241, -21.17241, -20.10058, -20.10058, -14.544905]"
Ursa Minor,"[37.94625, 263.05377, 263.05377, 251.49238499999998, 251.49238499999998, 236.014485, 236.014485, 222.676575, 222.676575, 230.182245, 230.182245, 244.376865, 244.376865, 236.014485]","[89.264109, 86.58646, 86.58646, 82.037262, 82.037262, 77.794493, 77.794493, 74.155505, 74.155505, 71.834016, 71.834016, 75.75533, 75.75533, 77.794493]"
Octans,"[0.39924000000000004, 341.51538, 341.51538, 216.732015, 216.732015, 325.368795, 325.368795, 335.00631, 335.00631, 341.51538]","[-77.065724, -81.381615, -81.381615, -83.667884, -83.667884, -77.390046, -77.390046, -80.439747, -80.439747, -81.381615]"
Orion,"[78.63447, 86.939115, 86.939115, 85.189695, 85.189695, 88.792935, 88.792935, 83.78449499999999, 83.78449499999999, 81.282765, 81.282765, 83.001675, 83.001675, 78.63447, 85.189695, 84.05338499999999, 84.05338499999999, 83.001675]","[-8.20164, -9.669605, -9.669605, -1.942572, -1.942572, 7.407063, 7.407063, 9.934158, 9.934158, 6.349702, 6.349702, -0.299092, -0.299092, -8.20164, -1.942572, -1.20192, -1.20192, -0.299092]"
Canis Major,"[95.674935, 101.287215, 101.287215, 105.756135, 105.756135, 107.097855, 107.097855, 111.02376, 107.097855, 104.656455, 105.939555, 101.287215, 101.287215, 103.547505]","[-17.955918, -16.716116, -16.716116, -23.833291, -23.833291, -26.3932, -26.3932, -29.303104, -26.3932, -28.972084, -15.633286, -16.716116, -16.716116, -12.038628]"
Sagitta,"[299.689275, 296.846925, 295.26225, 296.846925, 296.846925, 295.024125]","[19.492148, 18.534286, 17.476041, 18.534286, 18.534286, 18.01389]"
Delphinus,"[308.303205, 309.38724, 309.38724, 309.909525, 309.909525, 311.66193, 311.66193, 310.864725, 310.864725, 309.38724]","[11.303263, 14.595087, 14.595087, 15.912072, 15.912072, 16.124134, 16.124134, 15.074581, 15.074581, 14.595087]"
Cygnus,"[310.35798, 305.557095, 305.557095, 292.680345, 318.234105, 311.55267000000003, 311.55267000000003, 305.557095, 305.557095, 296.24361, 296.24361, 292.42647, 292.42647, 289.2756]","[45.280338, 40.256679, 40.256679, 27.959681, 30.226916, 33.970256, 33.970256, 40.256679, 40.256679, 45.13081, 45.13081, 51.729779, 51.729779, 53.368459]"
Aquila,"[298.828305, 297.69582, 297.69582, 296.56491000000005, 297.69582, 291.37458, 291.37458, 286.56225, 302.826195, 291.37458, 291.37458, 286.352535]","[6.406763, 8.868322, 8.868322, 10.613261, 8.868322, 3.114775, 3.114775, -4.882554, -0.821461, 3.114775, 3.114775, 13.863478]"
Lyra,"[279.2346, 281.193135, 281.193135, 283.62618, 283.62618, 284.735925, 284.735925, 282.51997500000004, 282.51997500000004, 281.193135]","[38.783692, 37.605115, 37.605115, 36.898613, 36.898613, 32.689557, 32.689557, 33.362667, 33.362667, 37.605115]"
Bootes,"[207.369345, 206.81565, 206.81565, 208.671165, 208.671165, 213.91545, 213.91545, 217.9575, 217.9575, 218.01954, 218.01954, 225.48654000000002, 225.48654000000002, 228.87564, 228.87564, 221.24676, 221.24676, 220.2873]","[15.797905, 17.456906, 17.456906, 18.397717, 18.397717, 19.18241, 19.18241, 30.371437, 30.371437, 38.308253, 38.308253, 40.390566, 40.390566, 33.314833, 33.314833, 27.074222, 27.074222, 13.7283]"
Ursa Major,"[206.88531, 200.981205, 200.981205, 193.50708, 193.50708, 183.85629, 183.85629, 178.45752000000002, 178.45752000000002, 165.46015500000001, 165.46015500000001, 165.93232500000002, 165.93232500000002, 183.85629, 165.93232500000002, 142.881795, 142.881795, 143.620545, 143.620545, 135.6363, 135.6363, 130.0536, 130.0536, 127.56646500000001, 127.56646500000001, 142.881795, 142.881795, 143.215725, 143.215725, 167.41593, 167.41593, 176.512725, 176.512725, 178.45752000000002, 154.27428, 167.41593, 167.41593, 155.582325, 134.80241999999998, 143.215725, 143.215725, 135.906405]","[49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 53.69476, 53.69476, 56.382427, 56.382427, 61.751033, 61.751033, 57.032617, 61.751033, 63.061861, 63.061861, 69.830343, 69.830343, 67.629619, 67.629619, 64.327936, 64.327936, 60.718169, 60.718169, 63.061861, 63.061861, 51.6773, 51.6773, 44.498487, 44.498487, 47.779406, 47.779406, 53.69476, 42.914365, 44.498487, 44.498487, 41.499516, 48.041826, 51.6773, 51.6773, 47.156525]"
Corona Borealis,"[233.23243499999998, 231.95727, 231.95727, 233.67192, 233.67192, 235.68571500000002, 235.68571500000002, 237.39855, 237.39855, 239.39691000000002, 239.39691000000002, 240.360705]","[31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788, 26.87788, 29.851061]"
