name,ra,dec
Celestial Prison,"[158.790255, 157.656915, 157.656915, 159.773715, 159.773715, 163.393665, 163.393665, 162.79600499999998, 162.79600499999998, 160.93053, 160.93053, 158.790255]","[57.082637, 55.980536, 55.980536, 53.6683, 53.6683, 54.585128, 54.585128, 56.58225, 56.58225, 57.199203, 57.199203, 57.082637]"
Guard of the Sun,"[176.512725, 176.512725]","[47.779406, 47.779406]"
Eunuch,"[175.43127, 171.4881, 171.4881, 168.185205, 168.185205, 173.770425, 173.770425, 175.43127]","[55.172011, 55.850459, 55.850459, 54.894287, 54.894287, 54.785419, 54.785419, 55.172011]"
Prime Minister,"[187.512225, 187.512225]","[51.535631, 51.535631]"
Three Excellencies (In Purple Forbidden Enclosure),"[203.61374999999998, 199.56051, 199.56051, 201.56914500000002]","[49.015973, 49.682062, 49.682062, 46.028055]"
Sombre Lance,"[214.09610999999998, 214.09610999999998]","[46.088305, 46.088305]"
Judge for Nobility,"[176.73174, 172.43169, 172.43169, 175.114305, 175.114305, 178.99338, 178.99338, 176.73174]","[55.62819, 56.737573, 56.737573, 57.970404, 57.970404, 56.59856, 56.59856, 55.62819]"
Northern Dipper,"[165.93232500000002, 165.46015500000001, 165.46015500000001, 178.45752000000002, 178.45752000000002, 183.85629, 183.85629, 193.50708, 193.50708, 200.981205, 200.981205, 206.88531]","[61.751033, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617, 57.032617, 55.959821, 55.959821, 54.925362, 54.925362, 49.313265]"
Assistant (Vassal of Northern Dipper),"[201.306195, 201.306195]","[54.987958, 54.987958]"
Celestial Spear,"[216.299505, 214.041585, 214.041585, 213.37077]","[51.850744, 51.367231, 51.367231, 51.789965]"
Supreme Palace East Wall,"[184.97649, 190.415175, 190.415175, 193.90087499999998, 193.90087499999998, 195.54416999999998, 195.54416999999998, 197.49703499999998]","[-0.666803, -1.449375, -1.449375, 3.39747, 3.39747, 10.95915, 10.95915, 17.529431]"
Supreme Palace West Wall,"[177.67383, 170.28414, 170.28414, 170.98104, 170.98104, 168.560025, 168.560025, 168.52706999999998]","[1.764718, 6.029322, 6.029322, 10.529509, 10.529509, 15.42957, 15.42957, 20.523717]"
Usher to the Court,"[185.08741500000002, 185.08741500000002]","[3.312574, 3.312574]"
Three Excellencies (In Supreme Palace Enclosure),"[185.63349, 187.83924, 187.83924, 189.593355]","[5.305444, 7.604309, 7.604309, 1.854662]"
Nine Senior Officers,"[192.225885, 191.80684499999998, 191.80684499999998, 190.471065]","[14.122584, 11.958088, 11.958088, 10.235625]"
Five Lords,"[193.323945, 189.780465, 189.780465, 187.43016, 187.43016, 185.17929, 185.17929, 184.000785]","[21.244943, 21.062559, 21.062559, 20.896109, 20.896109, 17.792868, 17.792868, 14.899071]"
Inner Screen,"[176.320995, 176.46483, 176.46483, 180.21829499999998, 180.21829499999998, 181.302255]","[8.258119, 6.529376, 6.529376, 6.614322, 6.614322, 8.732985]"
Seats of the Five Emperors,"[178.91888999999998, 177.26494499999998, 177.26494499999998, 176.297595, 177.31161, 177.26494499999998, 177.26494499999998, 177.73059]","[15.646818, 14.57206, 14.57206, 14.263335, 16.242882, 14.57206, 14.57206, 12.279037]"
Officer of Honour,"[181.069155, 181.069155]","[21.459153, 21.459153]"
Crown Prince,"[176.99643, 176.99643]","[20.218931, 20.218931]"
Retinue (In Supreme Palace Enclosure),"[175.19612999999998, 175.19612999999998]","[21.35273, 21.35273]"
Captain of the Bodyguards,"[194.00202, 194.00202]","[38.314912, 38.314912]"
Emperor's Bodyguard,"[168.800955, 168.800955]","[23.095502, 23.095502]"
Royal Guards,"[184.12560000000002, 179.57890500000002, 179.57890500000002, 179.82307500000002, 179.82307500000002, 180.414525, 180.414525, 177.42387, 177.42387, 175.262565, 175.262565, 173.48458499999998]","[33.061527, 32.330647, 32.330647, 33.167004, 33.167004, 36.042086, 36.042086, 34.931758, 34.931758, 34.201635, 34.201635, 36.815614]"
Officers of the Imperial Guard,"[184.63171499999999, 186.73449, 184.63171499999999, 184.37740499999998, 184.37740499999998, 186.73449, 186.73449, 186.60027, 186.60027, 184.873095, 184.873095, 183.00421500000002, 183.00421500000002, 184.37740499999998, 187.158975, 186.747075, 186.747075, 185.08200000000002, 185.08200000000002, 182.69206499999999, 182.69206499999999, 183.00421500000002, 186.60027, 186.747075, 187.158975, 187.227945, 187.227945, 186.07719, 186.07719, 185.626305, 185.626305, 185.074005, 185.074005, 182.96325, 182.96325, 182.69206499999999]","[30.249047, 28.268423, 30.249047, 28.937189, 28.937189, 28.268423, 28.268423, 27.268237, 27.268237, 28.156916, 28.156916, 28.536313, 28.536313, 28.937189, 26.226959, 26.825699, 26.825699, 26.619482, 26.619482, 27.281505, 27.281505, 28.536313, 27.268237, 26.825699, 26.226959, 25.912852, 25.912852, 26.098606, 26.098606, 25.84616, 25.84616, 26.001875, 26.001875, 25.87028, 25.87028, 27.281505]"
The Hall of Glory,"[174.23721, 172.57872, 172.57872, 169.165425]","[-0.823749, -3.003501, -3.003501, -3.651601]"
Astronomical Observatory,"[168.507645, 166.254285, 166.254285, 165.18667499999998]","[8.060695, 7.336007, 7.336007, 6.101449]"
Junior Officers,"[161.46624, 162.473865, 162.473865, 163.90335, 163.90335, 165.582405]","[30.682313, 27.973948, 27.973948, 24.749718, 24.749718, 20.179842]"
Long Wall,"[160.85399999999998, 161.60226, 161.60226, 161.605335, 161.605335, 162.314295]","[23.188404, 18.891523, 18.891523, 14.194645, 14.194645, 10.545202]"
Three Steps (Upper Step),"[134.80241999999998, 135.906405]","[48.041826, 47.156525]"
Three Steps (Middle Step),"[154.27428, 155.582325]","[42.914365, 41.499516]"
Three Steps (Lower Step),"[169.619745, 169.54676999999998]","[33.094306, 31.528783]"
,"[134.80241999999998, 135.906405, 135.906405, 154.27428, 154.27428, 155.582325, 155.582325, 169.619745, 169.619745, 169.54676999999998]","[48.041826, 47.156525, 47.156525, 42.914365, 42.914365, 41.499516, 41.499516, 33.094306, 33.094306, 31.528783]"
Heavenly Market East Wall,"[258.75796499999996, 262.68462, 262.68462, 266.614785, 266.614785, 271.88562, 271.88562, 281.415525, 281.415525, 286.352535, 286.352535, 284.05492499999997, 284.05492499999997, 275.32750500000003, 275.32750500000003, 269.75662500000004, 269.75662500000004, 264.396675, 264.396675, 257.59452]","[24.839204, 26.110645, 26.110645, 27.720676, 27.720676, 28.762488, 28.762488, 20.546308, 20.546308, 13.863478, 13.863478, 4.203595, 4.203595, -2.898825, -2.898825, -9.773632, -9.773632, -15.398557, -15.398557, -15.72491]"
