name,ra,dec
Elk,"[206.88531, 200.981205, 200.981205, 193.50708, 193.50708, 183.85629, 183.85629, 178.45752000000002, 178.45752000000002, 165.46015500000001, 165.46015500000001, 165.93232500000002, 165.93232500000002, 183.85629]","[49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 53.69476, 53.69476, 56.382427, 56.382427, 61.751033, 61.751033, 57.032617]"
Threshers,"[83.85826499999999, 83.914515, 83.914515, 85.189695, 85.189695, 84.05338499999999, 84.05338499999999, 83.001675]","[-5.909901, -4.856067, -4.856067, -1.942572, -1.942572, -1.20192, -1.20192, -0.299092]"
Duck Nest,"[56.218905, 56.200889999999994, 56.200889999999994, 56.30205, 56.30205, 56.47698, 56.47698, 56.74749, 56.74749, 57.29673, 57.29673, 57.290595, 57.290595, 56.58156, 56.58156, 56.218905]","[24.113339, 24.28947, 24.28947, 24.467278, 24.467278, 24.554511, 24.554511, 24.520124, 24.520124, 24.136712, 24.136712, 24.053415, 24.053415, 23.948358, 23.948358, 24.113339]"
